Numéro d'école;Latitude;Longitude;
0240582C;45.1382681;0.752132860790254;Atur, Boulazac Isle Manoire, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24750, France
0100144C;48.0629678470786;3.91875099874401;Ervy-le-Châtel, Grand Est, France métropolitaine, 10130, France
0100198L;48.502766;4.2738976;Chaudrey, Troyes, Aube, Grand Est, France métropolitaine, 10240, France
0100250T;48.2701237;3.8071497;Estissac, Troyes, Aube, Grand Est, France métropolitaine, 10190, France
0100924A;48.2088406;3.8914306;Bercenay-en-Othe, Troyes, Aube, Grand Est, France métropolitaine, 10190, France
0451199J;47.76351;2.0215;Marcilly-en-Villette, Orléans, Loiret, Centre-Val de Loire, France métropolitaine, 45240, France
0451311F;48.2104339;2.0179646;Outarville, Pithiviers, Loiret, Centre-Val de Loire, France métropolitaine, 45480, France
0460227X;44.5418304;1.0737531;Montcabrier, Cahors, Lot, Occitanie, France métropolitaine, 46700, France
0460271V;44.9898406;1.6634008;Condat, Gourdon, Lot, Occitanie, France métropolitaine, 46110, France
0460401L;44.7841401;1.8513429;Aynac, Figeac, Lot, Occitanie, France métropolitaine, 46120, France
0460419F;44.3770903;1.15333545595511;Belmontet, Montcuq-en-Quercy-Blanc, Cahors, Lot, Occitanie, France métropolitaine, 46800, France
0460600C;44.9971233;1.6389476635401;Les Quatre-Routes-du-Lot, Le Vignon-en-Quercy, Gourdon, Lot, Occitanie, France métropolitaine, 46110, France
0280156T;48.2825990166904;1.65838836542575;Beauvilliers, Centre-Val de Loire, France métropolitaine, 28150, France
0280285H;48.4231;1.46835;Luisant, Chartres, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28600, France
0180451T;47.3030026;2.5239669;Henrichemont, Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18250, France
0180588S;46.9921896;2.2552381;Saint-Florent-sur-Cher, Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18400, France
9740951R;-20.9354584;55.2916763;Le Port, Saint-Paul, La Réunion, 97420, France
9760022V;-12.77607895;45.2846124862922;Dzaoudzi, Mayotte, 97610, France
9760028B;-12.9132184;45.194967;Bandrélé, Mayotte, 97620, France
0080345G;49.7429367;4.7462556;Villers-Semeuse, Charleville-Mézières, Ardennes, Grand Est, France métropolitaine, 08000, France
0080520X;49.4254547;4.1764618;Roizy, Rethel, Ardennes, Grand Est, France métropolitaine, 08190, France
0090137A;42.9003627;1.3404767;Boussenac, Saint-Girons, Ariège, Occitanie, France métropolitaine, 09320, France
0170589Y;45.6245332;-1.0287636;Royan, Rochefort, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17200, France
0110864E;43.2130358;2.3491069;Carcassonne, Aude, Occitanie, France métropolitaine, 11000, France
0120338C;44.5923335;2.42216998397436;Conques, Conques-en-Rouergue, Rodez, Aveyron, Occitanie, France métropolitaine, 12320, France
0120475B;44.476229;2.2295701;Montbazens, Villefranche-de-Rouergue, Aveyron, Occitanie, France métropolitaine, 12220, France
0410098J;47.35296115;1.2239873718126;Bourré, Montrichard Val de Cher, Romorantin-Lanthenay, Loir-et-Cher, Centre-Val de Loire, France métropolitaine, 41400, France
0190375E;45.4065225;2.045018;Égletons, Ussel, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19300, France
0190547S;45.2335546;1.6974158;Chameyrat, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19330, France
0210472Z;47.290721;4.2946459;Villargoix, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France
0210509P;47.23017;5.19291;Varanges, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21110, France
0100796L;48.2784599;4.0507314;Saint-André-les-Vergers, Troyes, Aube, Grand Est, France métropolitaine, 10120, France
0171051A;45.6245332;-1.0287636;Royan, Rochefort, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17200, France
