Numéro d'école;Latitude;Longitude;
0571145K;49.0999832;6.153041;Montigny-lès-Metz, Metz, Moselle, Grand Est, France métropolitaine, 57950, France
0600467G;49.4300997;2.0823355;Beauvais, Oise, Hauts-de-France, France métropolitaine, 60000, France
0190415Y;44.9934307;2.00979358444882;Camps-Saint-Mathurin-Léobazel, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19430, France
0190482W;45.4243315;1.5637278;Uzerche, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19140, France
0190561G;45.1723833;1.7342495;Le Chastang, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19190, France
0210200D;47.1839;4.67322;Crugey, Beaune, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21360, France
0210304S;47.125851209535;4.66758528319822;Bligny-sur-Ouche, Bourgogne-Franche-Comté, France métropolitaine, 21360, France
0210413K;47.6196013682994;4.33080421840292;Montbard, Bourgogne-Franche-Comté, France métropolitaine, 21500, France
0940492Z;48.8051624;2.4197113;Alfortville, Créteil, Val-de-Marne, Île-de-France, France métropolitaine, 94140, France
0600921A;49.5270633;1.8512721;Wambez, Beauvais, Oise, Hauts-de-France, France métropolitaine, 60380, France
0601538W;49.4179497;2.8263171;Compiègne, Oise, Hauts-de-France, France métropolitaine, 60200, France
0030360A;46.3464789733877;3.83059344224151;Le Donjon, Auvergne-Rhône-Alpes, France métropolitaine, 03130, France
0880445F;48.1471;6.0629;Senonges, Neufchâteau, Vosges, Grand Est, France métropolitaine, 88260, France
0880620W;48.2527;5.945;Parey-sous-Montfort, Neufchâteau, Vosges, Grand Est, France métropolitaine, 88800, France
0881543Z;48.1775172;6.3932819;Les Forges, Épinal, Vosges, Grand Est, France métropolitaine, 88390, France
0890175G;47.4261876;3.9966803;Saint-Brancher, Avallon, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89630, France
0610077C;48.580906;-0.382037486243263;La Ferté-Macé, Argentan, Orne, Normandie, France métropolitaine, 61600, France
0610200L;48.6773586;0.0889576;Médavy, Alençon, Orne, Normandie, France métropolitaine, 61570, France
9710676H;16.2408636;-61.5334077;Pointe-à-Pitre, Guadeloupe, 97110, France
9720207T;14.8170955002085;-61.0665079377225;Le Lorrain, Martinique, 97214, France
0900284V;47.5075682;6.9977521;Delle, Belfort, Territoire-de-Belfort, Bourgogne-Franche-Comté, France métropolitaine, 90100, France
0590966E;51.0347708;2.3772525;Dunkerque, Nord, Hauts-de-France, France métropolitaine, France
0591052Y;50.5223657;3.1158401;Pont-à-Marcq, Lille, Nord, Hauts-de-France, France métropolitaine, 59710, France
0590970J;51.0347708;2.3772525;Dunkerque, Nord, Hauts-de-France, France métropolitaine, France
0591354B;50.2513704;3.9200611;Hautmont, Avesnes-sur-Helpe, Nord, Hauts-de-France, France métropolitaine, 59330, France
9730437M;3.4825990736898;-54.0047798359729;Maripasoula, Guyane, 97370, France
0751053M;48.85715055;2.2567311894375;16e, Paris, Île-de-France, France métropolitaine, France
0751217R;48.8566101;2.3514992;Paris, Île-de-France, France métropolitaine, France
0592680T;50.7531232;3.1209016;Roncq, Lille, Nord, Hauts-de-France, France métropolitaine, 59223, France
0591679E;50.9946103;2.2192457;Loon-Plage, Dunkerque, Nord, Hauts-de-France, France métropolitaine, 59279, France
0592517R;50.5878779;3.0511655;Wattignies, Lille, Nord, Hauts-de-France, France métropolitaine, 59139, France
0921519B;48.8126688;2.2385432;Meudon, Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, France métropolitaine, France
0922053G;48.8953328;2.2561602;Courbevoie, Arrondissement de Nanterre, Hauts-de-Seine, Île-de-France, France métropolitaine, 92400, France
0751366C;48.8566101;2.3514992;Paris, Île-de-France, France métropolitaine, France
0540143M;48.8969262;6.2597394;Abaucourt, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54610, France
0540444P;48.6846355;5.7866205;Foug, Toul, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54570, France
0760388J;49.9246182;1.0791444;Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76200, France
0760457J;49.4595571;1.3623213;Saint-Denis-le-Thiboult, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76116, France
0760662G;49.6197245;0.2784535;Vergetot, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76280, France
0760709H;49.8050152;1.0515461;Bertreville-Saint-Ouen, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76590, France
0760843D;49.4938975;0.1079732;Le Havre, Seine-Maritime, Normandie, France métropolitaine, France
0761042V;49.67588;0.84519;Criquetot-sur-Ouville, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76760, France
0761052F;49.6947186;0.8597473;Ouville-l'Abbaye, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76760, France
0541089R;48.4827;6.8138;Vacqueville, Lunéville, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54540, France
0541095X;48.4634;6.549;Vallois, Lunéville, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54830, France
0541188Y;48.6578689;6.7088882;Xousse, Lunéville, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54370, France
0542107X;48.8040079;6.3418036;Bey-sur-Seille, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54760, France
0550684V;49.0548828295899;5.13310618266323;Lavoye, Grand Est, France métropolitaine, 55120, France
0700546N;47.5505365290717;5.84125851475676;Fresne-Saint-Mamès, Bourgogne-Franche-Comté, France métropolitaine, 70130, France
0710169Y;46.7888997;4.8529605;Chalon-sur-Saône, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71100, France
0710180K;46.8054064;4.4285961;Le Creusot, Autun, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71200, France
0710211U;46.747427;4.4699684;Montchanin, Autun, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71210, France
0710369R;46.6005232;4.0633825;Gueugnon, Charolles, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71130, France
0594842T;50.6540895;3.1839429;Hem, Lille, Nord, Hauts-de-France, France métropolitaine, 59510, France
0640665A;42.9969381;-0.6175989;Osse-en-Aspe, Oloron-Sainte-Marie, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64490, France
0640855G;43.20758675;-1.06379380609516;Bunus, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64120, France
0641524J;43.4813927;-1.5149935;Anglet, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64600, France
9710117A;16.3776349;-61.4877837;Petit-Canal, Pointe-à-Pitre, Guadeloupe, 97131, France
0596364X;51.0347708;2.3772525;Dunkerque, Nord, Hauts-de-France, France métropolitaine, France
0600150M;49.2413145823151;1.88573310860713;Liancourt-Saint-Pierre, Hauts-de-France, France métropolitaine, 60240, France
0650181U;43.4327536;0.0843131;Gensac, Tarbes, Hautes-Pyrénées, Occitanie, France métropolitaine, 65140, France
0650280B;42.9974157;-0.0538888;Vier-Bordes, Argelès-Gazost, Hautes-Pyrénées, Occitanie, France métropolitaine, 65400, France
0650332H;43.0761024;-0.0472452;Aspin-en-Lavedan, Argelès-Gazost, Hautes-Pyrénées, Occitanie, France métropolitaine, 65100, France
0650699G;43.0255659;0.6023704;Loures-Barousse, Bagnères-de-Bigorre, Hautes-Pyrénées, Occitanie, France métropolitaine, 65370, France
0650700H;43.1252298;0.384241;Lannemezan, Bagnères-de-Bigorre, Hautes-Pyrénées, Occitanie, France métropolitaine, 65300, France
0660202L;42.5484832;2.3878706;Vernet-les-Bains, Prades, Pyrénées-Orientales, Occitanie, France métropolitaine, 66820, France
0730673K;45.6121437;6.8457969;Montvalezan, Albertville, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73700, France
0271137P;49.0268903;1.1510164;Évreux, Eure, Normandie, France métropolitaine, 27000, France
0620489V;50.2551605;2.4730029;Grand-Rullecourt, Arras, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62810, France
0622251K;50.4049;2.82454;Avion, Lens, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62210, France
0911795G;48.62960985;2.44359589710894;Évry, Évry-Courcouronnes, Arrondissement d'Évry, Essonne, Île-de-France, France métropolitaine, 91000, France
0911892M;48.5136159;2.2174622;Chamarande, Étampes, Essonne, Île-de-France, France métropolitaine, 91730, France
0280367X;48.3037516936298;0.84907943322189;Trizay-Coutretot-Saint-Serge, Centre-Val de Loire, France métropolitaine, 28480, France
0623048B;50.5184406;2.6004003;Fouquereuil, Béthune, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62232, France
0741271E;46.0833937;6.7269662;Samoëns, Bonneville, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74340, France
0741411G;46.3512824;6.2923899;Messery, Thonon-les-Bains, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74140, France
0290490A;48.3905283;-4.4860088;Brest, Finistère, Bretagne, France métropolitaine, 29200, France
0332730N;44.8422361;-0.6469599;Mérignac, Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33700, France
0340358E;43.935142;3.7070719;Ganges, Lodève, Hérault, Occitanie, France métropolitaine, 34190, France
0771491C;48.539927;2.6608169;Melun, Seine-et-Marne, Île-de-France, France métropolitaine, 77000, France
0572903W;49.1092707;6.4054894;Courcelles-Chaussy, Metz, Moselle, Grand Est, France métropolitaine, 57530, France
0580185L;47.0664625660931;3.65272502109248;Mont-et-Marré, Bourgogne-Franche-Comté, France métropolitaine, 58110, France
0580341F;46.9876601;3.1577203;Nevers, Nièvre, Bourgogne-Franche-Comté, France métropolitaine, 58000, France
0640818S;43.4832523;-1.5592776;Biarritz, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64200, France
0641053X;43.2957547;-0.3685668;Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64000, France
0611063Z;48.4312059;0.0911374;Alençon, Orne, Normandie, France métropolitaine, 61000, France
0680483F;48.0937187;7.5537126;Baltzenheim, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68320, France
0680692H;47.9024133;7.253469;Issenheim, Thann-Guebwiller, Haut-Rhin, Grand Est, France métropolitaine, 68500, France
0681038J;47.7494188;7.3399355;Mulhouse, Haut-Rhin, Grand Est, France métropolitaine, France
0650218J;43.2426749;0.0965226;Aureilhan, Tarbes, Hautes-Pyrénées, Occitanie, France métropolitaine, 65800, France
0650219K;43.2426749;0.0965226;Aureilhan, Tarbes, Hautes-Pyrénées, Occitanie, France métropolitaine, 65800, France
0650296U;43.0658212;0.1530914;Bagnères-de-Bigorre, Hautes-Pyrénées, Occitanie, France métropolitaine, 65200, France
0650402J;43.2284141;0.1046315;Séméac, Tarbes, Hautes-Pyrénées, Occitanie, France métropolitaine, 65600, France
0770064B;48.4149956;3.2394035;Bray-sur-Seine, Provins, Seine-et-Marne, Île-de-France, France métropolitaine, 77480, France
0251818R;47.4191617;6.5237197;Pompierre-sur-Doubs, Montbéliard, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25340, France
0650554Z;43.167521;0.2671346;Lanespède, Tarbes, Hautes-Pyrénées, Occitanie, France métropolitaine, 65190, France
0650645Y;43.1252298;0.384241;Lannemezan, Bagnères-de-Bigorre, Hautes-Pyrénées, Occitanie, France métropolitaine, 65300, France
0650719D;43.0255659;0.6023704;Loures-Barousse, Bagnères-de-Bigorre, Hautes-Pyrénées, Occitanie, France métropolitaine, 65370, France
0650928F;43.1252298;0.384241;Lannemezan, Bagnères-de-Bigorre, Hautes-Pyrénées, Occitanie, France métropolitaine, 65300, France
0660385K;42.6598814443053;2.8638419954763;Perpignan, Occitanie, France métropolitaine, 66260, France
0761567R;50.0591099;1.3827656;Le Tréport, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76470, France
0270093E;49.0473467;1.1624156;Gravigny, Évreux, Eure, Normandie, France métropolitaine, 27930, France
0710841D;46.4698148;4.2442193;Champlecy, Charolles, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71120, France
0711047C;46.8160316;4.7143651;Saint-Martin-sous-Montaigu, Chalon-sur-Saône, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71640, France
0711276B;46.2110224;4.7555202;La Chapelle-de-Guinchay, Mâcon, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71570, France
0711280F;46.3212198;4.7448989;Prissé, Mâcon, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71960, France
0762415M;49.3880756;1.1428248;Belbeuf, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76240, France
0690444H;45.7337532;4.9092352;Bron, Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69500, France
0240488A;45.4225;0.3180556;Champagne-et-Fontaine, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24320, France
0720417M;48.1368046;0.7958405;Gréez-sur-Roc, Mamers, Sarthe, Pays de la Loire, France métropolitaine, 72320, France
0721272S;47.7847303;0.638137493963165;Loir en Vallée, La Flèche, Sarthe, Pays de la Loire, France métropolitaine, France
0691107D;46.0268039;4.5572383;Saint-Cyr-le-Chatoux, Villefranche-sur-Saône, Rhône, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69870, France
0240851V;45.03633;0.83079;Lacropte, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24380, France
0330247P;44.79384015;-0.606308590681976;Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, France
0670245C;48.4770169;7.567958;Krautergersheim, Sélestat-Erstein, Bas-Rhin, Grand Est, France métropolitaine, 67880, France
0670375U;48.9693147;7.9913427;Seebach, Haguenau-Wissembourg, Bas-Rhin, Grand Est, France métropolitaine, 67160, France
0741145T;46.1875056;6.291881;Cranves-Sales, Saint-Julien-en-Genevois, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74380, France
0741461L;46.2922313;6.3099899;Loisin, Thonon-les-Bains, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74140, France
0672108C;48.584614;7.7507127;Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France
0672541Y;48.6285965;7.6250218;Stutzheim-Offenheim, Saverne, Bas-Rhin, Grand Est, France métropolitaine, 67370, France
0672667K;48.5355746;7.4321702;Gresswiller, Molsheim, Bas-Rhin, Grand Est, France métropolitaine, 67190, France
0680227C;47.8626304;7.2136696;Hartmannswiller, Thann-Guebwiller, Haut-Rhin, Grand Est, France métropolitaine, 68500, France
0751306M;48.8566101;2.3514992;Paris, Île-de-France, France métropolitaine, France
0740368Y;45.7525572;6.29168300187786;Faverges, Faverges-Seythenex, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 74210, France
0730374K;45.6754622;6.3925417;Albertville, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73200, France
0731393T;45.6136449;6.3174574;Sainte-Hélène-sur-Isère, Albertville, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73460, France
0761143E;49.5934182;0.2126618;Notre-Dame-du-Bec, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76133, France
0770063A;48.4149956;3.2394035;Bray-sur-Seine, Provins, Seine-et-Marne, Île-de-France, France métropolitaine, 77480, France
0692598Z;45.6738;4.85831;Feyzin, Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69320, France
0772528E;48.8567;2.7855615;Serris, Torcy, Seine-et-Marne, Île-de-France, France métropolitaine, 77700, France
0700602Z;47.8859052;6.1263847;Melincourt, Lure, Haute-Saône, Bourgogne-Franche-Comté, France métropolitaine, 70210, France
0710287B;46.6413462;4.3717516;Saint-Vallier, Autun, Saône-et-Loire, Bourgogne-Franche-Comté, France métropolitaine, 71230, France
0680655T;47.7569173878324;7.28891668465197;Lutterbach, Grand Est, France métropolitaine, 68210, France
0680666E;47.9094629;7.2113271;Guebwiller, Thann-Guebwiller, Haut-Rhin, Grand Est, France métropolitaine, 68500, France
0681214A;47.9094629;7.2113271;Guebwiller, Thann-Guebwiller, Haut-Rhin, Grand Est, France métropolitaine, 68500, France
0681464X;47.8091086;7.2402432;Wittelsheim, Mulhouse, Haut-Rhin, Grand Est, France métropolitaine, 68310, France
0753277E;48.8566101;2.3514992;Paris, Île-de-France, France métropolitaine, France
0030402W;46.3949517;3.7515748;Liernolles, Vichy, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03130, France
0760293F;49.6231961154176;1.53556490171404;Serqueux, Normandie, France métropolitaine, 76440, France
0760653X;49.598476;0.2625657;Hermeville, Le Havre, Seine-Maritime, Normandie, France métropolitaine, 76280, France
0760847H;49.8579786;0.9954325;Ambrumesnil, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76550, France
0760870H;49.8542277;1.0710182;Sauqueville, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76550, France
0030551H;46.1135216;3.6826943;Châtel-Montagne, Vichy, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03250, France
0760820D;49.4938975;0.1079732;Le Havre, Seine-Maritime, Normandie, France métropolitaine, France
0760852N;49.8658434;0.8880653;Le Bourg-Dun, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76740, France
0760891F;49.7943394434677;0.62809286295619;Clasville, Normandie, France métropolitaine, 76450, France
0020276P;49.7544444;3.5725;Chevresis-Monceau, Saint-Quentin, Aisne, Hauts-de-France, France métropolitaine, 02270, France
0020434L;49.5206;3.57971;Étouvelles, Laon, Aisne, Hauts-de-France, France métropolitaine, 02000, France
0020648U;49.515;3.97818;La Malmaison, Laon, Aisne, Hauts-de-France, France métropolitaine, 02190, France
0770080U;48.4570001;3.3742663;Villiers-sur-Seine, Provins, Seine-et-Marne, Île-de-France, France métropolitaine, 77114, France
0020936G;49.4638994;3.9744055;Prouvais, Laon, Aisne, Hauts-de-France, France métropolitaine, 02190, France
0021324D;49.9530556;3.1938889;Villeret, Saint-Quentin, Aisne, Hauts-de-France, France métropolitaine, 02420, France
0021678N;49.2143688068278;3.35491989886811;Oulchy-la-Ville, Hauts-de-France, France métropolitaine, 02210, France
0251384U;46.9040348;6.3546345;Pontarlier, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25300, France
0251627H;47.3273068;6.011267;Devecey, Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25870, France
0770592A;48.5590252;2.682406;Rubelles, Melun, Seine-et-Marne, Île-de-France, France métropolitaine, 77950, France
0382802P;45.1593057;5.6878134;Seyssins, Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38180, France
0382899V;45.4693305;5.47326711845444;Virieu, Val-de-Virieu, La Tour-du-Pin, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38730, France
0390446Y;46.932;5.93256;Cernans, Dole, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39110, France
0400725W;43.7080596;-1.0533076;Dax, Landes, Nouvelle-Aquitaine, France métropolitaine, 40100, France
0400775A;43.8825787;-0.5201452;Saint-Pierre-du-Mont, Mont-de-Marsan, Landes, Nouvelle-Aquitaine, France métropolitaine, 40280, France
0370212E;47.3900474;0.6889268;Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, France
0371382B;47.2729908;0.5996983;Artannes-sur-Indre, Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37260, France
0140642X;48.8964741;-0.1999129;Falaise, Caen, Calvados, Normandie, France métropolitaine, 14700, France
0320120G;43.7258333;0.1038889;Margouët-Meymes, Mirande, Gers, Occitanie, France métropolitaine, 32290, France
0320129S;43.608737;-0.097589;Maumusson-Laguian, Mirande, Gers, Occitanie, France métropolitaine, 32400, France
0320159Z;43.4999606;0.2133846;Monlezun, Mirande, Gers, Occitanie, France métropolitaine, 32230, France
0320164E;43.3940886;0.4188539;Montaut, Mirande, Gers, Occitanie, France métropolitaine, 32300, France
0320371E;43.4075;0.4944444;Lagarde-Hachan, Mirande, Gers, Occitanie, France métropolitaine, 32300, France
0141622M;48.8253485;-1.04035886236471;Saint-Sever-Calvados, Noues de Sienne, Vire, Calvados, Normandie, France métropolitaine, 14380, France
0141664H;48.8964741;-0.1999129;Falaise, Caen, Calvados, Normandie, France métropolitaine, 14700, France
0141871H;49.1954825;0.3566372;Moyaux, Lisieux, Calvados, Normandie, France métropolitaine, 14590, France
0320503Y;43.7234743;0.729581;Crastes, Auch, Gers, Occitanie, France métropolitaine, 32270, France
0270420K;49.2675049;0.914799365231541;Le Thuit-Simer, Le Thuit-de-l'Oison, Bernay, Eure, Normandie, France métropolitaine, 27370, France
0270902J;48.8212529;0.7095443;Rugles, Bernay, Eure, Normandie, France métropolitaine, 27250, France
0280088U;48.0747843739993;1.3445741790559;Châteaudun, Centre-Val de Loire, France métropolitaine, 28200, France
0621029G;50.7765241;1.8348287;Boursin, Calais, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62132, France
0280284G;48.4231;1.46835;Luisant, Chartres, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28600, France
0271270J;49.2789504;1.777826;Gisors, Les Andelys, Eure, Normandie, France métropolitaine, 27140, France
0621738C;50.6395937;2.4000602;Aire-sur-la-Lys, Saint-Omer, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62120, France
0621832E;50.45049;2.21829;Teneur, Arras, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62134, France
0280422G;48.2795417;1.4611984;Meslay-le-Vidame, Châteaudun, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28360, France
0332329C;44.7081826;-0.4009928;Langoiran, Langon, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33550, France
0332480S;45.1271231;-0.6635964;Blaye, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33390, France
0623070A;50.3022047;2.7767966;Saint-Nicolas, Arras, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62223, France
0280446H;48.2702337;1.2715658;Saint-Avit-les-Guespières, Châteaudun, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28120, France
0340514Z;43.6112422;3.8767337;Montpellier, Hérault, Occitanie, France métropolitaine, France
0382256W;45.2066078;5.6629992;Sassenage, Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38360, France
0382466Z;45.3558251;5.616002;Coublevie, Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38500, France
0311295P;43.6434;1.37799;Blagnac, Toulouse, Haute-Garonne, Occitanie, France métropolitaine, 31700, France
0220346G;48.6755038;-2.928296;Plouha, Guingamp, Côtes-d'Armor, Bretagne, France métropolitaine, 22580, France
0221124C;48.32409335;-2.49628947585718;Le Gouray, Le Mené, Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22330, France
0400558P;44.0295744;-1.19874070396189;Uza, Dax, Landes, Nouvelle-Aquitaine, France métropolitaine, 40170, France
0221609E;48.8085427;-3.3723211;Trélévern, Lannion, Côtes-d'Armor, Bretagne, France métropolitaine, 22660, France
0221627Z;48.7322183;-3.4587994;Lannion, Côtes-d'Armor, Bretagne, France métropolitaine, 22300, France
0221628A;48.7322183;-3.4587994;Lannion, Côtes-d'Armor, Bretagne, France métropolitaine, 22300, France
0221637K;48.784201;-3.2319779;Tréguier, Lannion, Côtes-d'Armor, Bretagne, France métropolitaine, 22220, France
0240407M;45.32966665;0.625948985254953;Valeuil, Brantôme-en-Périgord, Nontron, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24310, France
0240556Z;45.5705556;0.5613889;Javerlhac-et-la-Chapelle-Saint-Robert, Nontron, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24300, France
0641049T;43.2957547;-0.3685668;Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64000, France
0080449V;49.4021636;4.70952028242988;Vouziers, Ardennes, Grand Est, France métropolitaine, 08400, France
0080554J;49.4251987;4.1256232;Houdilcourt, Rethel, Ardennes, Grand Est, France métropolitaine, 08190, France
0080596E;49.88562;4.38904;Éteignières, Charleville-Mézières, Ardennes, Grand Est, France métropolitaine, 08260, France
0240868N;44.9857254;0.7219503;Saint-Michel-de-Villadeix, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24380, France
0240963S;44.74607125;0.975186732678294;Belvès, Pays-de-Belvès, Sarlat-la-Canéda, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24170, France
0240972B;44.7695167;0.752642769836243;Beaumont-du-Périgord, Beaumontois en Périgord, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24440, France
0241049K;45.1724869;0.765034783995843;Boulazac, Boulazac Isle Manoire, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24750, France
0241094J;45.17838205;0.820409517428967;Bassillac, Bassillac et Auberoche, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24330, France
0370567R;47.1702894309627;0.243864123141865;Chinon, Centre-Val de Loire, France métropolitaine, 37500, France
0460382R;44.4917756;1.0858997;Vire-sur-Lot, Cahors, Lot, Occitanie, France métropolitaine, 46700, France
0460649F;44.4495;1.4364999;Cahors, Lot, Occitanie, France métropolitaine, 46000, France
0141560V;49.1828008;-0.3690815;Caen, Calvados, Normandie, France métropolitaine, 14000, France
0100194G;48.3185478;4.0413095;La Chapelle-Saint-Luc, Troyes, Aube, Grand Est, France métropolitaine, 10600, France
0100768F;48.3941801;4.5268522;Brienne-le-Château, Bar-sur-Aube, Aube, Grand Est, France métropolitaine, 10500, France
0100814F;48.6700396;4.2005817;Mailly-le-Camp, Troyes, Aube, Grand Est, France métropolitaine, 10230, France
0101080V;48.4458161;4.5804014;Vallentigny, Bar-sur-Aube, Aube, Grand Est, France métropolitaine, 10500, France
0570973Y;49.2984278;6.0542804;Ranguevaux, Thionville, Moselle, Grand Est, France métropolitaine, 57700, France
0120428A;44.4835;2.25886;Lugan, Villefranche-de-Rouergue, Aveyron, Occitanie, France métropolitaine, 12220, France
0591758R;50.6767018;3.1043032;Marcq-en-Barœul, Lille, Nord, Hauts-de-France, France métropolitaine, 59700, France
0180442H;46.6934875;2.523626;Drevant, Saint-Amand-Montrond, Cher, Centre-Val de Loire, France métropolitaine, 18200, France
0180813L;47.1462117;2.2214381;Mehun-sur-Yèvre, Vierzon, Cher, Centre-Val de Loire, France métropolitaine, 18500, France
0195040A;45.0469914;2.0085655;Sexcles, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19430, France
0210593F;47.2775177;4.230692;Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France
0210874L;47.2841003;5.0574798;Longvic, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21600, France
0211752R;47.0534609;5.2770422;Franxault, Beaune, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21170, France
0594341Y;50.1250142;3.6913023;Landrecies, Avesnes-sur-Helpe, Nord, Hauts-de-France, France métropolitaine, 59550, France
0650294S;43.0658212;0.1530914;Bagnères-de-Bigorre, Hautes-Pyrénées, Occitanie, France métropolitaine, 65200, France
0130888V;43.2874985714814;5.36069019065576;Saint-Lambert, Provence-Alpes-Côte d'Azur, France métropolitaine, 13007, France
0420654H;45.4401467;4.3873058;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, France
0650748K;43.1831715;-0.0268132;Ossun, Tarbes, Hautes-Pyrénées, Occitanie, France métropolitaine, 65380, France
