2015-2016;2016-2017;2017-2018;Académie;Adresse;Appellation officielle;Code département;Code postal;Commune;Département;Etat établissement;Latitude;Lieu dit;Longitude;Nombre d'élèves 2015-2016;Nombre d'élèves 2016-2017;Nombre d'élèves 2017-2018;Numéro d'école;Patronyme uai;Secteur d'enseignement;code région;libellé région;POPULATION;Inférieur à 500 hab ?;Inférieur à 2000 habs;Inférieur à 10000 habs
yes;yes;no;AIX-MARSEILLE;16 rue Jean Macé;Ecole maternelle Puymaure;;5000.0;Gap;;;;;;94.0;75.0;;0050154R;;PUBLIC;93;Provence-Alpes-Côte-d'Azur;40255;0;0;0
yes;yes;no;NICE;5 rue Lacan;Ecole maternelle Doumer;;6600.0;Antibes;;;;;;122.0;123.0;;0060122A;;PUBLIC;93;Provence-Alpes-Côte-d'Azur;75456;0;0;0
yes;yes;no;GUADELOUPE;Le bourg;Ecole primaire Bourg 1;;97114.0;Trois-Rivières;;;;;;128.0;125.0;;9710313N;;PUBLIC;1;Guadeloupe;8578;0;0;1
yes;yes;no;NICE;Rue des Arbousiers;Ecole primaire Eluard;;6510.0;Carros;;;;;;147.0;141.0;;0061289U;;PUBLIC;93;Provence-Alpes-Côte-d'Azur;11756;0;0;0
yes;yes;no;CRETEIL;2 rue Edouard Vaillant;Ecole maternelle Edouard Vaillant 1;;94120.0;Fontenay-sous-Bois;;;;;;97.0;88.0;;0941489H;;PUBLIC;11;Île-de-France;53124;0;0;0
yes;yes;no;VERSAILLES;15 Grande rue;Ecole du Heaulme;;95640.0;Le Heaulme;;;;;;20.0;23.0;;0950395N;;PUBLIC;11;Île-de-France;200;1;1;1
yes;no;no;DIJON;Rue Guillemot;Ecole de Villiers-Saint-Benoît;;89130.0;Villiers-Saint-Benoît;;;;;;14.0;;;0890384J;;PUBLIC;27;Bourgogne-et-Franche-Comté;511;0;1;1
yes;no;no;DIJON;16 bis rue Georges Varenne;Ecole maternelle de Laroche-Saint-Cydroine;;89400.0;Laroche-Saint-Cydroine;;;;;;17.0;;;0890948X;;PUBLIC;27;Bourgogne-et-Franche-Comté;1266;0;1;1
yes;no;no;DIJON;15 rue de la Tour d'Auvergne;Ecole maternelle d'application Rosoirs;;89000.0;Auxerre;;;;;;94.0;;;0891250A;;PUBLIC;27;Bourgogne-et-Franche-Comté;34869;0;0;0
yes;no;no;VERSAILLES;4 allée des Eguerets;Ecole maternelle Les Eguerets;;95280.0;Jouy-le-Moutier;;;;;;106.0;;;0951452M;;PUBLIC;11;Île-de-France;16300;0;0;0
