2015-2016;2016-2017;2017-2018;Académie;Adresse;Appellation officielle;Code département;Code postal;Commune;Département;Etat établissement;Latitude;Lieu dit;Longitude;Nombre d'élèves 2015-2016;Nombre d'élèves 2016-2017;Nombre d'élèves 2017-2018;Numéro d'école;Patronyme uai;Secteur d'enseignement;code région;libellé région;POPULATION;Inférieur à 500 hab ?;Inférieur à 2000 habs;Inférieur à 10000 habs
yes;no;no;REIMS;17 Route Nationale;Ecole primaire de Villery;;10320.0;Villery;;;;;;19.0;;;0100634K;;PUBLIC;44;Grand-Est;274;1;1;1
yes;no;no;REIMS;43 Route impériale;Ecole primaire de Voué;;10150.0;Voué;;;;;;207.0;;;0100654G;;PUBLIC;44;Grand-Est;640;0;1;1
yes;no;no;DIJON;Le Maupas;Ecole RPI;;21430.0;Sussey;;;;;;13.0;;;0210554N;;PUBLIC;27;Bourgogne-et-Franche-Comté;269;1;1;1
yes;no;no;DIJON;Place de la Mairie;Ecole maternelle de Lacanche;;21230.0;Lacanche;;;;;;19.0;;;0210906W;;PUBLIC;27;Bourgogne-et-Franche-Comté;587;0;1;1
yes;no;no;BORDEAUX;Rue du chemin Rouge;Ecole élémentaire chemin Rouge;;47500.0;Fumel;;;;;;34.0;;;0470387R;;PUBLIC;75;Nouvelle-Aquitaine;5074;0;0;1
yes;no;no;ORLEANS-TOURS;13 rue Chevaliers Macquaux;Ecole primaire des Essards;;37130.0;Les Essards;;;;;;24.0;;;0370445H;;PUBLIC;24;Centre-Val-de-Loire;152;1;1;1
yes;yes;no;NANTES;5 rue de Lozère;Ecole maternelle Bernardière;;44800.0;Saint-Herblain;;;;;;109.0;104.0;;0440992P;;PUBLIC;52;Pays-de-la-Loire;43784;0;0;0
yes;yes;no;NANCY-METZ;18 Grande rue;Ecole élémentaire de Gélacourt;;54120.0;Gélacourt;;;;;;23.0;22.0;;0540466N;;PUBLIC;44;Grand-Est;172;1;1;1
yes;no;no;REIMS;867 Route de Troyes;Ecole maternelle Jean Monnet;;10120.0;Saint-Germain;;;;;;74.0;;;0101026L;;PUBLIC;44;Grand-Est;2284;0;0;1
yes;no;no;REIMS;2 Ruelle Cocos;Ecole élémentaire de Pougy;;10240.0;Pougy;;;;;;18.0;;;0101075P;;PUBLIC;44;Grand-Est;294;1;1;1
yes;yes;no;MONTPELLIER;129 Route d'Armissan;Ecole maternelle Les Platanes;11.0;11100.0;Narbonne;Aude;;;;;13.0;10.0;;0110799J;;PUBLIC;76;Occitanie;52802;0;0;0
yes;yes;no;BORDEAUX;Villeneuve de Mezin;Ecole maternelle Villeneuve de Mezin;;47170.0;Lannes;;;;;;16.0;8.0;;0470890M;;PUBLIC;75;Nouvelle-Aquitaine;389;1;1;1
yes;no;no;ORLEANS-TOURS;Rue des Grands Clos;Ecole primaire Guehenno;;37260.0;Artannes-sur-Indre;;;;;;154.0;;;0371109E;;PUBLIC;24;Centre-Val-de-Loire;2534;0;0;1
yes;no;no;GRENOBLE;Route Nationale;Ecole Les Sables;;38520.0;Le Bourg-d'Oisans;;;;;;14.0;;;0380214B;;PUBLIC;84;Auvergne-et-Rhône-Alpes;3235;0;0;1
yes;no;no;TOULOUSE;Taurines;Ecole Taurines;;12120.0;Centrès;;;;;;15.0;;;0120260T;;PUBLIC;76;Occitanie;526;0;1;1
yes;no;no;TOULOUSE;Le bourg;Ecole élémentaire de Montfranc;;12380.0;Montfranc;;;;;;11.0;;;0120481H;;PUBLIC;76;Occitanie;124;1;1;1
yes;no;no;TOULOUSE;Le bourg;Ecole de Plaisance;;12550.0;Plaisance;;;;;;13.0;;;0120913C;;PUBLIC;76;Occitanie;201;1;1;1
yes;yes;no;LIMOGES;3 rue Laënnec;Ecole maternelle Gaubre;;19100.0;Brive-la-Gaillarde;;;;;;65.0;56.0;;0190161X;;PUBLIC;75;Nouvelle-Aquitaine;46794;0;0;0
yes;yes;no;NANTES;25 quai des Mariniers;Ecole élémentaire du Thoureil;;49350.0;Le Thoureil;;;;;;24.0;23.0;;0490734G;;PUBLIC;52;Pays-de-la-Loire;444;1;1;1
yes;yes;no;GRENOBLE;Le bourg;Ecole primaire Les Marronniers;;38840.0;La Sône;;;;;;16.0;10.0;;0381292Y;;PUBLIC;84;Auvergne-et-Rhône-Alpes;591;0;1;1
yes;yes;no;GRENOBLE;15 rue Le Corbusier;Ecole maternelle Saint-Just;;38400.0;Saint-Martin-d'Hères;;;;;;51.0;34.0;;0381893B;;PUBLIC;84;Auvergne-et-Rhône-Alpes;38019;0;0;0
yes;yes;no;LYON;57 rue de la Libération;Ecole maternelle R. de la Libération;;42480.0;La Fouillouse;;;;;;123.0;121.0;;0420280B;;PUBLIC;84;Auvergne-et-Rhône-Alpes;4316;0;0;1
yes;yes;no;LYON;112 rue du 11 Novembre;Ecole maternelle R. du 11 Novembre;;42720.0;Pouilly-sous-Charlieu;;;;;;80.0;69.0;;0420309H;;PUBLIC;84;Auvergne-et-Rhône-Alpes;2512;0;0;1
yes;yes;no;LYON;7 avenue Jules Ferry;Ecole maternelle Ferry;;42270.0;Saint-Priest-en-Jarez;;;;;;83.0;76.0;;0420790F;;PUBLIC;84;Auvergne-et-Rhône-Alpes;6125;0;0;1
yes;yes;no;LYON;15 rue de l'Université;Ecole maternelle Metare Cottencière;;42100.0;Saint-Étienne;;;;;;122.0;138.0;;0421075R;;PUBLIC;84;Auvergne-et-Rhône-Alpes;172023;0;0;0
yes;no;no;LIMOGES;Avenue Jean Vinatier;Ecole maternelle de Seilhac;;19700.0;Seilhac;;;;;;58.0;;;0190360N;;PUBLIC;75;Nouvelle-Aquitaine;1699;0;1;1
yes;yes;no;DIJON;Village Thorey;Ecole élémentaire RPI;;21350.0;Thorey-sous-Charny;;;;;;22.0;13.0;;0210535T;;PUBLIC;27;Bourgogne-et-Franche-Comté;169;1;1;1
yes;no;no;DIJON;Rue des Fossés;Ecole de Rougemont;;21500.0;Rougemont;;;;;;11.0;;;0210665J;;PUBLIC;27;Bourgogne-et-Franche-Comté;170;1;1;1
yes;no;no;DIJON;29 rue Marceau;Ecole maternelle Jules Ferry;;21500.0;Montbard;;;;;;31.0;;;0210787S;;PUBLIC;27;Bourgogne-et-Franche-Comté;5394;0;0;1
yes;yes;no;DIJON;Rue de l'Eglise;Ecole d'Écutigny;;21360.0;Écutigny;;;;;;13.0;12.0;;0211008G;;PUBLIC;27;Bourgogne-et-Franche-Comté;99;1;1;1
yes;no;no;CAEN;Rue du Xii ème Arrondissement;Ecole maternelle Yves Pouliquen;;50140.0;Mortain;;;;;;34.0;;;0500497U;;PUBLIC;28;Normandie;1685;0;1;1
yes;no;no;BESANCON;1 Route des Sapins;Ecole élémentaire d'Équevillon;;39300.0;Équevillon;;;;;;17.0;;;0390290D;;PUBLIC;27;Bourgogne-et-Franche-Comté;592;0;1;1
yes;no;no;BESANCON;1 place de la Mairie;Ecole élémentaire de Dournon;;39110.0;Dournon;;;;;;22.0;;;0390449B;;PUBLIC;27;Bourgogne-et-Franche-Comté;128;1;1;1
yes;no;no;BESANCON;5 avenue Aristide Briand;Ecole élémentaire Aristide Briand;;39000.0;Lons-le-Saunier;;;;;;199.0;;;0390509S;;PUBLIC;27;Bourgogne-et-Franche-Comté;17063;0;0;0
yes;yes;no;BESANCON;7 montée de l'Ecole;Ecole de Jeurre;;39360.0;Jeurre;;;;;;17.0;17.0;;0390684G;;PUBLIC;27;Bourgogne-et-Franche-Comté;259;1;1;1
yes;yes;no;LYON;4 impasse de la Palle;Ecole maternelle Montchovet;;42100.0;Saint-Étienne;;;;;;124.0;119.0;;0422157S;;PUBLIC;84;Auvergne-et-Rhône-Alpes;172023;0;0;0
yes;no;no;DIJON;40 rue de l'Eglise;Ecole maternelle de Fontaine-Française;;21610.0;Fontaine-Française;;;;;;91.0;;;0211412W;;PUBLIC;27;Bourgogne-et-Franche-Comté;909;0;1;1
yes;no;no;DIJON;1 rue de Lis;Ecole maternelle de Sainte-Marie-la-Blanche;;21200.0;Sainte-Marie-la-Blanche;;;;;;23.0;;;0211728P;;PUBLIC;27;Bourgogne-et-Franche-Comté;835;0;1;1
yes;no;no;DIJON;Rue Princesse de Conti;Ecole RPI;;21250.0;Tichey;;;;;;21.0;;;0211912P;;PUBLIC;27;Bourgogne-et-Franche-Comté;217;1;1;1
yes;yes;no;TOULOUSE;Le bourg;Ecole primaire de Saint-Projet;;46300.0;Saint-Projet;;;;;;28.0;21.0;;0460078K;;PUBLIC;76;Occitanie;361;1;1;1
yes;yes;no;TOULOUSE;Le bourg;Ecole primaire de Fons;;46100.0;Fons;;;;;;21.0;24.0;;0460313R;;PUBLIC;76;Occitanie;399;1;1;1
yes;no;no;BESANCON;11 rue de Franche-Comté;Ecole maternelle Franche Comté;;39200.0;Saint-Claude;;;;;;78.0;;;0390934D;;PUBLIC;27;Bourgogne-et-Franche-Comté;10346;0;0;0
yes;no;no;TOULOUSE;Le bourg;Ecole maternelle de Leyme;;46120.0;Leyme;Lot;;44.78457;;1.90061;34.0;;;0460576B;;PUBLIC;76;Occitanie;947;0;1;1
yes;yes;no;CAEN;13 rue de Tinchebray;École maternelle publique Les Petits Lutins;;50150.0;Sourdeval;Manche;;48.72503;;-0.91556;46.0;51.0;;0500892Y;;PUBLIC;28;Normandie;2651;0;0;1
yes;no;no;CAEN;Avenue de Normandie;Ecole primaire Amont Quentin;;50100.0;Cherbourg-Octeville;;;;;;114.0;;;0501849N;;PUBLIC;28;Normandie;37055;0;0;0
yes;no;no;LILLE;64 rue de la Victoire;Ecole maternelle Louise Michel;;59620.0;Aulnoye-Aymeries;;;;;;23.0;;;0595308Z;;PUBLIC;32;Hauts-de-France;8816;0;0;1
yes;no;no;REIMS;22 rue Albert Thomas;Ecole maternelle Jules Ferry;;51100.0;Reims;;;;;;59.0;;;0510576Z;;PUBLIC;44;Grand-Est;182592;0;0;0
yes;yes;no;REIMS;2 rue de l'école;Ecole de Bisseuil;;51150.0;Bisseuil;;;;;;22.0;14.0;;0510968A;;PUBLIC;44;Grand-Est;645;0;1;1
yes;yes;no;REIMS;4 rue de Sezanne;Ecole maternelle de Gaye;;51120.0;Gaye;;;;;;27.0;27.0;;0511908X;;PUBLIC;44;Grand-Est;581;0;1;1
yes;yes;no;LILLE;Rue du guet;Ecole maternelle de Vendeville;;59175.0;Vendeville;;;;;;77.0;71.0;;0595764V;;PUBLIC;32;Hauts-de-France;1692;0;1;1
yes;no;no;AMIENS;6 rue Pelée;Ecole élémentaire de Bouconvillers;;60240.0;Bouconvillers;;;;;;18.0;;;0600128N;;PUBLIC;32;Hauts-de-France;361;1;1;1
yes;no;no;AMIENS;11 rue de la Mairie;Ecole de Montjavoult;;60240.0;Montjavoult;;;;;;35.0;;;0600148K;;PUBLIC;32;Hauts-de-France;454;1;1;1
yes;yes;no;AMIENS;3 place de l'église;Ecole élémentaire d'Antilly;;60620.0;Antilly;;;;;;26.0;26.0;;0600166E;;PUBLIC;32;Hauts-de-France;302;1;1;1
yes;no;no;AMIENS;8 rue Cardonnois-Broyes;Ecole élémentaire de Broyes;;60120.0;Broyes;;;;;;26.0;;;0600281E;;PUBLIC;32;Hauts-de-France;174;1;1;1
yes;no;no;GRENOBLE;Le village;Ecole primaire Noël Garidel;;7140.0;Malbosc;;;;;;7.0;;;0070135J;;PUBLIC;84;Auvergne-et-Rhône-Alpes;147;1;1;1
yes;yes;no;GRENOBLE;42 boulevard Pasteur;Ecole maternelle Teillaret;;7400.0;Le Teil;;;;;;25.0;17.0;;0070353W;;PUBLIC;84;Auvergne-et-Rhône-Alpes;8292;0;0;1
yes;no;no;GRENOBLE;Place du Général de Goutel;Ecole maternelle de Sarras;;7370.0;Sarras;;;;;;5.0;;;0071324B;;PUBLIC;84;Auvergne-et-Rhône-Alpes;2082;0;0;1
yes;no;no;REIMS;4 rue du Paquis;Ecole de Damouzy;;8090.0;Damouzy;;;;;;18.0;;;0080216S;;PUBLIC;44;Grand-Est;414;1;1;1
yes;no;no;REIMS;3 rue du Tertre;Ecole primaire de Riaucourt;;52000.0;Riaucourt;;;;;;23.0;;;0520619R;;PUBLIC;44;Grand-Est;435;1;1;1
yes;yes;no;REIMS;Rue du Château;Ecole maternelle de Villiers-en-Lieu;;52100.0;Villiers-en-Lieu;;;;;;67.0;68.0;;0520824N;;PUBLIC;44;Grand-Est;1555;0;1;1
yes;no;no;MONTPELLIER;210 rue de la Guesse;Ecole la Guesse;;34160.0;Castries;;;;;;176.0;;;0342061F;;PUBLIC;76;Occitanie;5935;0;0;1
yes;yes;no;RENNES;3 allée de l'Ecole;Ecole maternelle Lucie Aubrac;;35131.0;Pont-Péan;;;;;;151.0;163.0;;0350904T;;PUBLIC;53;Bretagne;3905;0;0;1
yes;yes;no;BORDEAUX;Le bourg;Ecole élémentaire de Grateloup-Saint-Gayrand;;47400.0;Grateloup-Saint-Gayrand;;;;;;20.0;20.0;;0470249R;;PUBLIC;75;Nouvelle-Aquitaine;444;1;1;1
yes;yes;no;RENNES;1 rue Plessis d'Arradon;Ecole maternelle Les Corallines;;56610.0;Arradon;;;;;;64.0;54.0;;0561525D;;PUBLIC;53;Bretagne;5514;0;0;1
yes;yes;no;RENNES;17 rue Nationale;Ecole maternelle de Landévant;;56690.0;Landévant;;;;;;158.0;153.0;;0561623K;;PUBLIC;53;Bretagne;3482;0;0;1
yes;no;no;DIJON;1 rue de la Mairie;Ecole maternelle d'Izier;;21110.0;Izier;;;;;;25.0;;;0211940V;;PUBLIC;27;Bourgogne-et-Franche-Comté;806;0;1;1
yes;no;no;RENNES;38 rue de la Madeleine;Ecole maternelle de Broons;;22250.0;Broons;;;;;;89.0;;;0220754A;;PUBLIC;53;Bretagne;2958;0;0;1
yes;no;no;RENNES;Le bourg;Ecole primaire de Dolo;;22270.0;Dolo;;;;;;98.0;;;0220818V;;PUBLIC;53;Bretagne;672;0;1;1
yes;no;no;RENNES;15 rue docteur Lavergne;Ecole maternelle Lavergne;;22400.0;Lamballe;;;;;;89.0;;;0220898G;;PUBLIC;53;Bretagne;12217;0;0;0
yes;no;no;RENNES;Le bourg;Ecole primaire Le Ble En Herbe;;22330.0;Langourla;;;;;;52.0;;;0220914Z;;PUBLIC;53;Bretagne;522;0;1;1
yes;yes;no;RENNES;7 allée de la Hodeyère;Ecole maternelle la Hodeyère;;35500.0;Vitré;;;;;;102.0;107.0;;0351837G;;PUBLIC;53;Bretagne;17463;0;0;0
yes;no;no;NANTES;61 avenue Pierre de Coubertin;Ecole maternelle groupe scolaire Les Pommeraies;;53000.0;Laval;;;;;;80.0;;;0530295H;;PUBLIC;52;Pays-de-la-Loire;50479;0;0;0
yes;yes;no;MONTPELLIER;Le village;Ecole de Saint-Georges-de-Lévéjac;;48500.0;Saint-Georges-de-Lévéjac;;;;;;12.0;10.0;;0480430G;;PUBLIC;76;Occitanie;250;1;1;1
yes;yes;no;ORLEANS-TOURS;Le bourg;Ecole élémentaire de Vicq-Exemplet;;36400.0;Vicq-Exemplet;;;;;;15.0;12.0;;0360555H;;PUBLIC;24;Centre-Val-de-Loire;322;1;1;1
yes;yes;no;RENNES;8 rue des écoles;Ecole maternelle de Caulnes;;22350.0;Caulnes;;;;;;115.0;119.0;;0221534Y;;PUBLIC;53;Bretagne;2448;0;0;1
yes;no;no;RENNES;Rue des écoles;Ecole maternelle de Plémet;;22210.0;Plémet;;;;;;86.0;;;0221633F;;PUBLIC;53;Bretagne;3212;0;0;1
yes;no;no;RENNES;Rue des écoles;Ecole primaire de Saint-Gilles-du-Mené;;22330.0;Saint-Gilles-du-Mené;;;;;;39.0;;;0221640N;;PUBLIC;53;Bretagne;468;1;1;1
yes;no;no;RENNES;2 rue du Meloir Sentier;Ecole maternelle Montafilan;;22980.0;Plélan-le-Petit;;;;;;71.0;;;0221826R;;PUBLIC;53;Bretagne;1836;0;1;1
yes;no;no;BORDEAUX;1 rue Antoine Gay;Ecole maternelle d'Excideuil;;24160.0;Excideuil;;;;;;50.0;;;0240276V;;PUBLIC;75;Nouvelle-Aquitaine;1162;0;1;1
yes;yes;no;LYON;3 rue Fernand Léger;Ecole maternelle Beauregard;;42600.0;Montbrison;;;;;;48.0;46.0;;0421465P;;PUBLIC;84;Auvergne-et-Rhône-Alpes;15673;0;0;0
yes;yes;no;ORLEANS-TOURS;2 rue de la Corderie;Ecole maternelle Camus;;37230.0;Luynes;;;;;;48.0;46.0;;0371373S;;PUBLIC;24;Centre-Val-de-Loire;5207;0;0;1
yes;yes;no;ORLEANS-TOURS;Place de l'église;Ecole maternelle d'Huismes;;37420.0;Huismes;;;;;;58.0;55.0;;0371404A;;PUBLIC;24;Centre-Val-de-Loire;1550;0;1;1
yes;yes;no;GRENOBLE;17 rue du Général Brocard;Ecole élémentaire Brocard;;38690.0;Biol;;;;;;56.0;50.0;;0380196G;;PUBLIC;84;Auvergne-et-Rhône-Alpes;1405;0;1;1
yes;no;no;BORDEAUX;Rue de la BEAURONNE;Ecole élémentaire d'Agonac;;24460.0;Agonac;;;;;;98.0;;;0240388S;;PUBLIC;75;Nouvelle-Aquitaine;1718;0;1;1
yes;yes;no;BORDEAUX;Le bourg;Ecole élémentaire de Bassillac;;24330.0;Bassillac;;;;;;91.0;108.0;;0240583D;;PUBLIC;75;Nouvelle-Aquitaine;1786;0;1;1
yes;no;no;BORDEAUX;Le bourg;Ecole maternelle de Lusignac;;24320.0;Lusignac;;;;;;18.0;;;0240627B;;PUBLIC;75;Nouvelle-Aquitaine;189;1;1;1
yes;no;no;BORDEAUX;Le bourg;Ecole maternelle de Simeyrols;;24370.0;Simeyrols;;;;;;15.0;;;0240715X;;PUBLIC;75;Nouvelle-Aquitaine;252;1;1;1
yes;yes;no;BORDEAUX;Le bourg;Ecole élémentaire de Ligueux;;24460.0;Ligueux;;;;;;42.0;40.0;;0240753N;;PUBLIC;75;Nouvelle-Aquitaine;282;1;1;1
yes;yes;no;BORDEAUX;Le bourg;Ecole élémentaire de Saint-Maime-de-Péreyrol;;24380.0;Saint-Maime-de-Péreyrol;;;;;;25.0;21.0;;0240854Y;;PUBLIC;75;Nouvelle-Aquitaine;276;1;1;1
yes;yes;no;BORDEAUX;Rue Eugénie Cotton;Ecole élémentaire Eugène Le Roy;;24660.0;Coulounieix-Chamiers;;;;;;229.0;238.0;;0240968X;;PUBLIC;75;Nouvelle-Aquitaine;8108;0;0;1
yes;no;no;BORDEAUX;4 rue André Rousseau;Ecole maternelle de la Force;;24130.0;La Force;;;;;;88.0;;;0240985R;;PUBLIC;75;Nouvelle-Aquitaine;2568;0;0;1
yes;yes;no;CLERMONT-FERRAND;Le bourg;Ecole maternelle de Lavoûte-sur-Loire;;43800.0;Lavoûte-sur-Loire;;;;;;37.0;35.0;;0430911G;;PUBLIC;84;Auvergne-et-Rhône-Alpes;841;0;1;1
yes;yes;no;NANCY-METZ;4 rue de la Mairie;Ecole maternelle de Reherrey;;54120.0;Reherrey;;;;;;24.0;25.0;;0542180B;;PUBLIC;44;Grand-Est;126;1;1;1
yes;no;no;NANCY-METZ;2 Grande rue;Ecole d'Avricourt;;54450.0;Avricourt;;;;;;30.0;;;0542341B;;PUBLIC;44;Grand-Est;392;1;1;1
yes;yes;no;NANCY-METZ;8 place Jean Blaise;Ecole d'Aubréville;;55120.0;Aubréville;;;;;;21.0;22.0;;0550789J;;PUBLIC;44;Grand-Est;391;1;1;1
yes;no;no;BESANCON;Rue Samuel Marti;Ecole maternelle Grosjean Jules;;25200.0;Montbéliard;;;;;;50.0;;;0251612S;;PUBLIC;27;Bourgogne-et-Franche-Comté;25697;0;0;0
yes;yes;no;ORLEANS-TOURS;4 rue Hector Berlioz;Ecole maternelle Prévert;;37110.0;Château-Renault;;;;;;52.0;45.0;;0370304E;;PUBLIC;24;Centre-Val-de-Loire;5072;0;0;1
yes;yes;no;ORLEANS-TOURS;Place de la Mairie;Ecole primaire d'Huismes;;37420.0;Huismes;;;;;;111.0;105.0;;0370570U;;PUBLIC;24;Centre-Val-de-Loire;1550;0;1;1
yes;no;no;ORLEANS-TOURS;32 rue des écoles;Ecole primaire Emile Thierry;;37340.0;Gizeux;;;;;;13.0;;;0371380Z;;PUBLIC;24;Centre-Val-de-Loire;408;1;1;1
yes;yes;no;CAEN;Avenue Général Koenig;Ecole maternelle Jean Baptiste Couture;;14750.0;Saint-Aubin-sur-Mer;;;;;;67.0;58.0;;0141839Y;;PUBLIC;28;Normandie;2266;0;0;1
yes;no;no;CLERMONT-FERRAND;Le bourg;Ecole élémentaire du Claux;;15400.0;Le Claux;;;;;;9.0;;;0150332E;;PUBLIC;84;Auvergne-et-Rhône-Alpes;196;1;1;1
yes;no;no;CLERMONT-FERRAND;Rue Georges Clémenceau;Ecole Marmiers;;15000.0;Aurillac;;;;;;154.0;;;0150619S;;PUBLIC;84;Auvergne-et-Rhône-Alpes;26572;0;0;0
yes;no;no;GRENOBLE;Rue de la Convention Estressin;Ecole maternelle Côteau Sainte-Hélène;;38200.0;Vienne;;;;;;58.0;;;0381415G;;PUBLIC;84;Auvergne-et-Rhône-Alpes;29325;0;0;0
yes;no;no;GRENOBLE;Avenue de Venaria;Ecole maternelle Joliot Curie;;38220.0;Vizille;;;;;;76.0;;;0381476Y;;PUBLIC;84;Auvergne-et-Rhône-Alpes;7571;0;0;1
yes;no;no;CLERMONT-FERRAND;Rue des écoles;Ecole maternelle de Vertolaye;;63480.0;Vertolaye;;;;;;18.0;;;0631289J;;PUBLIC;84;Auvergne-et-Rhône-Alpes;554;0;1;1
yes;yes;no;BORDEAUX;Le bourg;Ecole primaire de Lées-Athas;;64490.0;Lées-Athas;;;;;;17.0;23.0;;0640564R;;PUBLIC;75;Nouvelle-Aquitaine;291;1;1;1
yes;yes;no;BESANCON;Place de la Mairie;Ecole de Montmirey-le-Château;;39290.0;Montmirey-le-Château;;;;;;19.0;24.0;;0390618K;;PUBLIC;27;Bourgogne-et-Franche-Comté;170;1;1;1
yes;yes;no;POITIERS;Le bourg;Ecole élémentaire de Montchaude;;16300.0;Montchaude;;;;;;22.0;21.0;;0160501H;;PUBLIC;75;Nouvelle-Aquitaine;540;0;1;1
yes;yes;no;POITIERS;Avenue Bernard Fischer;Ecole élémentaire Félix Gaillard;;16300.0;Barbezieux-Saint-Hilaire;;;;;;148.0;139.0;;0160510T;;PUBLIC;75;Nouvelle-Aquitaine;4774;0;0;1
yes;no;no;POITIERS;7 rue des écoles;Ecole maternelle de Chabanais;;16150.0;Chabanais;;;;;;69.0;;;0160587B;;PUBLIC;75;Nouvelle-Aquitaine;1763;0;1;1
yes;yes;no;POITIERS;Le bourg;Ecole d'Écuras;;16220.0;Écuras;;;;;;12.0;13.0;;0160927W;;PUBLIC;75;Nouvelle-Aquitaine;598;0;1;1
yes;yes;no;POITIERS;1 place des Tilleuls;Ecole maternelle de Champagne-Mouton;;16350.0;Champagne-Mouton;;;;;;47.0;44.0;;0160972V;;PUBLIC;75;Nouvelle-Aquitaine;945;0;1;1
yes;yes;no;POITIERS;Le Menallier;Ecole élémentaire André Clerjaud;;16300.0;Lachaise;;;;;;20.0;22.0;;0161026D;;PUBLIC;75;Nouvelle-Aquitaine;336;1;1;1
yes;no;no;POITIERS;10 rue Jean Monnet;Ecole maternelle de Dompierre-sur-Charente;;17610.0;Dompierre-sur-Charente;;;;;;18.0;;;0170302L;;PUBLIC;75;Nouvelle-Aquitaine;475;1;1;1
yes;no;no;BESANCON;40 place de la Mairie;Ecole de Saint-Germain-lès-Arlay;;39210.0;Saint-Germain-lès-Arlay;;;;;;48.0;;;0390138N;;PUBLIC;27;Bourgogne-et-Franche-Comté;482;1;1;1
yes;no;no;BESANCON;2 rue Fontaine d'Embrun;Ecole maternelle de Gendrey;;39350.0;Gendrey;;;;;;22.0;;;0390933C;;PUBLIC;27;Bourgogne-et-Franche-Comté;408;1;1;1
yes;yes;no;BORDEAUX;5 impasse du Carboue;Ecole maternelle Carboue;;40000.0;Mont-de-Marsan;;;;;;63.0;63.0;;0400652S;;PUBLIC;75;Nouvelle-Aquitaine;31334;0;0;0
yes;yes;no;CAEN;2 rue des Canadiens;Ecole élémentaire de Billy;;14370.0;Billy;;;;;;40.0;51.0;;0140286K;;PUBLIC;28;Normandie;377;1;1;1
yes;yes;no;CAEN;Rue du marché;Ecole maternelle Antoine de Saint-Exupéry;;14420.0;Potigny;;;;;;107.0;97.0;;0140660S;;PUBLIC;28;Normandie;1954;0;1;1
yes;yes;no;CAEN;Rue la Croix;Ecole élémentaire de Villy-lez-Falaise;;14700.0;Villy-lez-Falaise;;;;;;24.0;23.0;;0140679M;;PUBLIC;28;Normandie;277;1;1;1
yes;no;no;CAEN;Cidex E  13;Ecole élémentaire d'Ernes;;14270.0;Ernes;;;;;;21.0;;;0140686V;;PUBLIC;28;Normandie;325;1;1;1
yes;no;no;CAEN;Le bourg;Ecole de Saint-Manvieu-Bocage;;14380.0;Saint-Manvieu-Bocage;;;;;;51.0;;;0141059A;;PUBLIC;28;Normandie;545;0;1;1
yes;yes;no;CAEN;4 Allée des Enfants;Ecole maternelle de Démouville;;14840.0;Démouville;;;;;;139.0;121.0;;0141565A;;PUBLIC;28;Normandie;3281;0;0;1
yes;no;no;CAEN;Rue de l'Eglise;Ecole maternelle Malraux-Neuville;;14500.0;Vire;;;;;;55.0;;;0141659C;;PUBLIC;28;Normandie;11597;0;0;0
yes;no;no;AIX-MARSEILLE;429 avenue Mireille Lauze;Ecole maternelle Pomme Mazenode;;13011.0;Marseille;;;;;;79.0;;;0131829T;;PUBLIC;93;Provence-Alpes-Côte-d'Azur;90555;0;0;0
yes;no;no;ORLEANS-TOURS;13 rue de la Halle;Ecole élémentaire Auron B;;18000.0;Bourges;;;;;;119.0;;;0180320A;;PUBLIC;24;Centre-Val-de-Loire;67189;0;0;0
yes;no;no;LYON;Impasse Bonlieu;Ecole primaire;42.0;42720.0;La Bénisson-Dieu;Loire;OUVERT;46.15036108160135;;4.04535506968729;33.0;;;0420122E;LE BOURG PRIMAIRE;PUBLIC;84;Auvergne-et-Rhône-Alpes;432;1;1;1
yes;no;no;LYON;Place Pasteur;Ecole maternelle Pasteur;;42800.0;Rive-de-Gier;;;;;;51.0;;;0420319U;;PUBLIC;84;Auvergne-et-Rhône-Alpes;14658;0;0;0
yes;yes;no;LYON;Le bourg;Ecole primaire Le Bourg;;42560.0;Soleymieux;;;;;;5.0;72.0;;0420841L;;PUBLIC;84;Auvergne-et-Rhône-Alpes;666;0;1;1
yes;yes;no;POITIERS;Le bourg;Ecole maternelle de Salles-Lavalette;;16190.0;Salles-Lavalette;;;;;;14.0;15.0;;0160198D;;PUBLIC;75;Nouvelle-Aquitaine;364;1;1;1
yes;no;no;POITIERS;17 avenue de la gare;Ecole élémentaire Jacques Prévert;;16400.0;La Couronne;;;;;;119.0;;;0160375W;;PUBLIC;75;Nouvelle-Aquitaine;7466;0;0;1
yes;no;no;POITIERS;Place du Canton;Ecole de Vaux-Rouillac;;16170.0;Vaux-Rouillac;;;;;;23.0;;;0160422X;;PUBLIC;75;Nouvelle-Aquitaine;300;1;1;1
yes;no;no;POITIERS;Le bourg;Ecole maternelle de Taizé-Aizie;;16700.0;Taizé-Aizie;;;;;;37.0;;;0160666M;;PUBLIC;75;Nouvelle-Aquitaine;588;0;1;1
yes;no;no;POITIERS;Le bourg;Ecole élémentaire de Verrières;;16130.0;Verrières;;;;;;21.0;;;0160739S;;PUBLIC;75;Nouvelle-Aquitaine;346;1;1;1
yes;yes;no;POITIERS;98 avenue Jean Jaurès;Ecole maternelle Le Maine Gagnaud;;16600.0;Ruelle-sur-Touvre;;;;;;47.0;37.0;;0160869H;;PUBLIC;75;Nouvelle-Aquitaine;7357;0;0;1
