lat,lon,address,town,name,pop_count,closed
48.2825990166904,1.65838836542575,9 rue de l'église,Boncé,Ecole élémentaire Bonce,243.0,2017
48.4231,1.46835,1 avenue de la République,Luisant,Ecole primaire Charlemagne,6720.0,2017
47.3030026,2.5239669,13 Route de Boisbelle,Henrichemont,Ecole maternelle d'Henrichemont,1806.0,2017
46.9921896,2.2552381,Breuil,Saint-Florent-sur-Cher,Ecole maternelle Le Breuil,6629.0,2016
-20.935458399999998,55.29167629999999,Rue Louis Aragon,Le Port,Ecole maternelle Françoise Dolto,35881.0,2016
-12.77607895,45.2846124862922,Labatoir 1 la Ferme,Dzaoudzi,Ecole élémentaire Labattoir 1 la Ferme,17831.0,2016
-12.913218400000002,45.194967,Bandrele,Bandrele,Ecole élémentaire Bandrele Village,10282.0,2016
49.7429367,4.7462556,6 rue Gambetta,Villers-Semeuse,Ecole maternelle Gambetta,3599.0,2016
49.4254547,4.176461799999999,3 Grande rue,Roizy,Ecole élémentaire de Roizy,231.0,2016
42.9003627,1.3404767,Hameau d'Espies,Boussenac,Ecole de Boussenac,185.0,2017
45.6245332,-1.0287636,18 rue des écoles,Royan,Ecole élémentaire Jules Ferry,18138.0,2016
43.21303579999999,2.3491068999999998,1  RUE RABELAIS,Carcassonne,Ecole primaire la Prade,46724.0,2017
44.5923335,2.42216998397436,Rue Gonzague Florens,Conques,Ecole Prosper Mérimée,255.0,2017
44.476229,2.2295701,Route Sangayrac,Montbazens,Ecole maternelle de Montbazens,1418.0,2017
47.35296115,1.2239873718126,Place Lucien Gigaud,Bourré,Ecole Lucien Gigaud,676.0,2017
45.406522499999994,2.0450180000000002,24 rue du Mouricou,Égletons,Ecole maternelle Marcelle Bergeal,4334.0,2016
45.233554600000005,1.6974158,Le bourg,Chameyrat,Ecole élémentaire de Chameyrat,1584.0,2016
47.290721000000005,4.2946459,2 Grande rue,Villargoix,Ecole RPI,154.0,2016
47.23017,5.1929099999999995,8 Route de Genlis,Varanges,Ecole élémentaire RPI,751.0,2017
48.2784599,4.0507314,1 rue Pierre de Celle,Saint-André-les-Vergers,Ecole maternelle Montier la Celle,11770.0,2017
45.6245332,-1.0287636,23 rue de la Terrasse,Royan,Ecole maternelle Jules Ferry,18138.0,2016
47.1354385,2.5499221000000003,Ste Solange,Sainte-Solange,Ecole maternelle de Sainte-Solange,1178.0,2016
44.1883973,3.1322855,Boyne,Rivière-sur-Tarn,Ecole maternelle Boyne,1050.0,2017
46.0345572,4.0729178,18 place Berthelot,Roanne,Ecole maternelle Berthelot,35507.0,2016
46.0345572,4.0729178,Place Larochette,Roanne,Ecole maternelle Larochette,35507.0,2016
