CODGEO,LIBGEO,POPULATION
01412,Sulignat,568
01413,Surjoux,72
01414,Sutrieu,211
01415,Talissieu,443
01416,Tenay,1053
01417,Thézillieu,300
01418,Thil,1057
01419,Thoiry,6161
01420,Thoissey,1712
01421,Torcieu,730
01422,Tossiat,1370
01423,Toussieux,913
01424,Tramoyes,1674
01425,La Tranclière,292
01426,Val-Revermont,2572
01427,Trévoux,6768
01428,Valeins,130
01429,Vandeins,683
01430,Varambon,535
01431,Vaux-en-Bugey,1231
01432,Verjon,262
01433,Vernoux,321
01434,Versailleux,423
01435,Versonnex,2183
01436,Vesancy,502
01437,Vescours,255
01439,Vésines,100
01441,Vieu-d'Izenave,691
01442,Vieu,379
01443,Villars-les-Dombes,4460
01444,Villebois,1167
01445,Villemotier,669
01446,Villeneuve,1461
01447,Villereversure,1262
01448,Villes,354
01449,Villette-sur-Ain,728
01450,Villieu-Loyes-Mollon,3507
01451,Viriat,6281
01452,Virieu-le-Grand,1067
01453,Virieu-le-Petit,302
01454,Virignin,1064
01456,Vongnes,71
01457,Vonnas,2926
02001,Abbécourt,497
02002,Achery,608
02003,Acy,1011
02004,Agnicourt-et-Séchelles,182
02005,Aguilcourt,398
02006,Aisonville-et-Bernoville,254
02007,Aizelles,121
02008,Aizy-Jouy,294
02009,Alaincourt,549
02010,Allemant,172
02011,Ambleny,1153
02012,Ambrief,70
02013,Amifontaine,413
02014,Amigny-Rouy,740
02015,Ancienville,77
02016,Andelain,225
02017,Anguilcourt-le-Sart,310
02018,Anizy-le-Château,1956
02019,Annois,372
02020,Any-Martin-Rieux,457
02021,Archon,87
02022,Arcy-Sainte-Restitue,403
02023,Armentières-sur-Ourcq,106
02024,Arrancy,53
02025,Artemps,368
02027,Assis-sur-Serre,230
02028,Athies-sous-Laon,2602
02029,Attilly,373
02030,Aubencheul-aux-Bois,285
02031,Aubenton,652
02032,Aubigny-aux-Kaisnes,246
02033,Aubigny-en-Laonnois,106
02034,Audignicourt,107
02035,Audigny,282
02036,Augy,88
02037,Aulnois-sous-Laon,1440
02038,Les Autels,63
02039,Autremencourt,170
02040,Autreppes,179
02041,Autreville,816
02042,Azy-sur-Marne,396
02043,Bagneux,71
02044,Bancigny,26
02046,Barenton-Bugny,545
02047,Barenton-Cel,121
02048,Barenton-sur-Serre,126
02049,Barisis-aux-Bois,747
02050,Barzy-en-Thiérache,322
02051,Barzy-sur-Marne,382
02052,Bassoles-Aulers,146
02053,Vallées en Champagne,562
02054,Bazoches-sur-Vesles,465
02055,Beaumé,97
02056,Beaumont-en-Beine,172
02057,Beaurevoir,1443
02058,Beaurieux,815
02059,Beautor,2695
02060,Beauvois-en-Vermandois,283
02061,Becquigny,270
02062,Belleau,138
02063,Bellenglise,386
02064,Belleu,3780
02065,Bellicourt,614
02066,Benay,208
02067,Bergues-sur-Sambre,211
02068,Berlancourt,111
02069,Berlise,118
02070,Bernot,443
02071,Berny-Rivière,644
02072,Berrieux,189
02073,Berry-au-Bac,634
02074,Bertaucourt-Epourdon,614
02075,Berthenicourt,206
02076,Bertricourt,173
02077,Berzy-le-Sec,396
02078,Besmé,153
02079,Besmont,160
02080,Besny-et-Loizy,360
02081,Béthancourt-en-Vaux,486
02082,Beugneux,109
02083,Beuvardes,729
02084,Bézu-le-Guéry,260
02085,Bézu-Saint-Germain,1084
02086,Bichancourt,1075
02087,Bieuxy,29
02088,Bièvres,78
02089,Billy-sur-Aisne,1170
02090,Billy-sur-Ourcq,215
02091,Blanzy-lès-Fismes,111
02093,Blérancourt,1250
02094,Blesmes,426
02095,Bohain-en-Vermandois,5670
02096,Bois-lès-Pargny,200
02097,Boncourt,260
02098,Bonneil,379
02099,Bonnesvalyn,241
02100,Bony,134
02101,Bosmont-sur-Serre,198
02102,Bouconville-Vauclair,192
02103,Boué,1303
02104,Bouffignereux,102
02105,Bouresches,201
02106,Bourg-et-Comin,832
02107,Bourguignon-sous-Coucy,99
02108,Bourguignon-sous-Montbavin,152
02109,La Bouteille,493
02110,Braine,2249
02111,Brancourt-en-Laonnois,705
02112,Brancourt-le-Grand,585
02114,Brasles,1439
02115,Braye-en-Laonnois,219
02116,Braye-en-Thiérache,141
02117,Bray-Saint-Christophe,68
02118,Braye,119
02119,Brécy,346
02120,Brenelle,197
02121,Breny,252
02122,Brie,53
02123,Brissay-Choigny,297
02124,Brissy-Hamégicourt,654
02125,Brumetz,213
02126,Brunehamel,487
02127,Bruyères-sur-Fère,182
02128,Bruyères-et-Montbérault,1532
02129,Bruys,20
02130,Bucilly,184
02131,Bucy-le-Long,1895
02132,Bucy-lès-Cerny,216
02133,Bucy-lès-Pierrepont,421
02134,Buire,873
02135,Buironfosse,1163
02136,Burelles,129
02137,Bussiares,141
02138,Buzancy,188
02139,Caillouël-Crépigny,435
02140,Camelin,455
02141,La Capelle,1813
02142,Castres,243
02143,Le Catelet,196
02144,Caulaincourt,143
02145,Caumont,559
02146,Celles-lès-Condé,82
02148,Celles-sur-Aisne,261
02149,Cerizy,66
02150,Cerny-en-Laonnois,67
02151,Cerny-lès-Bucy,114
02152,Cerseuil,91
02153,Cessières,451
02154,Chacrise,357
02155,Chaillevois,178
02156,Chalandry,247
02157,Chambry,831
02158,Chamouille,291
02159,Champs,282
02160,Chaourse,532
02162,La Chapelle-sur-Chézy,282
02163,Charly-sur-Marne,2657
02164,Le Charmel,319
02165,Charmes,1631
02166,Chartèves,347
02167,Chassemy,871
02168,Château-Thierry,14602
02169,Châtillon-lès-Sons,86
02170,Châtillon-sur-Oise,128
02171,Chaudardes,85
02172,Chaudun,248
