school_code,lat,lon,region_code,address,postal_code,town,name,region,pop_count,closed,Académie
0021699L,49.84861110000001,3.2863888,32,Rue de l'église,2100.0,Saint-Quentin,Ecole Jacques Prévert,Hauts-de-France,55698.0,2017,AMIENS
0140210C,49.2482981,-1.0452622,28,Le bourg,14330.0,Lison,Ecole maternelle de Lison,Normandie,458.0,2017,CAEN
0250935F,47.2785585,6.7352213,27,Le village,25380.0,Vauclusotte,Ecole de Vauclusotte,Bourgogne-et-Franche-Comté,98.0,2017,BESANCON
0260138J,44.5159006,5.2154189,84,Le village,26460.0,Bouvières,Ecole de Bouvières,Auvergne-et-Rhône-Alpes,139.0,2016,GRENOBLE
0260659A,44.9332277,4.8920810999999995,84,29 rue Albert Thomas,26000.0,Valence,Ecole maternelle Jules Ferry,Auvergne-et-Rhône-Alpes,61767.0,2016,GRENOBLE
0511234P,48.9894458,4.3154379,44,Place de la Mairie,51520.0,Recy,Ecole maternelle de Recy,Grand-Est,1047.0,2016,REIMS
0511831N,49.328446899999996,3.9453038,44,1 Grande rue,51220.0,Villers-Franqueux,Ecole maternelle de Villers-Franqueux,Grand-Est,302.0,2017,REIMS
0512106M,49.0279127,4.2372528,44,Rue Basse,51150.0,Vraux,Ecole maternelle Les Carrières,Grand-Est,480.0,2016,REIMS
0520103E,48.4426265,5.1412535,44,Rue Jules Ferry,52300.0,Joinville,Ecole maternelle Mermoz,Grand-Est,3443.0,2017,REIMS
0520609E,48.1435047,5.1444735999999995,44,3 rue de la Montagné,52000.0,Condes,Ecole primaire de Condes,Grand-Est,312.0,2016,REIMS
0520909F,48.2952568,5.2464882093597005,44,Avenue de Verdun,52270.0,Roches-Bettaincourt,Ecole de Roches-Bettaincourt,Grand-Est,621.0,2017,REIMS
0221482S,48.28993035,-2.5260125118511296,53,Rue Pierre Gineste,22330.0,Collinée,Ecole primaire Pierre Gineste,Bretagne,921.0,2016,RENNES
0221602X,48.6787936,-3.5231644,53,23 rue des écoles,22300.0,Ploumilliau,Ecole maternelle de Ploumilliau,Bretagne,2496.0,2017,RENNES
0240271P,45.1909365,0.7184406999999999,75,74 boulevard Ampère,24000.0,Périgueux,Ecole élémentaire d'application Clos Chassaing,Nouvelle-Aquitaine,30036.0,2016,BORDEAUX
0240304A,44.8534568,0.48753100000000005,75,19 rue Emile Zola,24100.0,Bergerac,Ecole maternelle Alba,Nouvelle-Aquitaine,28063.0,2016,BORDEAUX
0240334H,44.640229999999995,1.03398,75,Le bourg,24550.0,Saint-Cernin-de-l'Herm,Ecole élémentaire de Saint-Cernin-de-l'Herm,Nouvelle-Aquitaine,231.0,2016,BORDEAUX
0240383L,44.90528,0.54942,75,Le bourg,24140.0,Queyssac,Ecole maternelle de Queyssac,Nouvelle-Aquitaine,458.0,2017,BORDEAUX
0240402G,45.4287117,0.7046508,75,Le bourg,24530.0,Quinsac,Ecole élémentaire de Quinsac,Nouvelle-Aquitaine,388.0,2017,BORDEAUX
0240403H,45.32447,0.77998,75,Le bourg,24460.0,Saint-Front-d'Alemps,Ecole de Saint-Front-d'Alemps,Nouvelle-Aquitaine,262.0,2016,BORDEAUX
0140379L,49.182800799999995,-0.3690815,28,23 rue Bosnières,14000.0,Caen,Ecole maternelle Bosnières,Normandie,107229.0,2017,CAEN
0140421G,49.182800799999995,-0.3690815,28,65 avenue de la Libération,14000.0,Caen,Ecole maternelle Pigacière,Normandie,107229.0,2016,CAEN
0140643Y,48.896474100000006,-0.19991289999999998,28,4 rue du Maréchal Foch,14700.0,Falaise,Ecole maternelle Maréchal Foch,Normandie,8343.0,2017,CAEN
0140676J,48.878440600000005,-0.160385,28,Le bourg,14700.0,La Hoguette,Ecole élémentaire Les Roches-Feuilles,Normandie,714.0,2017,CAEN
0141377W,48.84902185,-0.565216636395482,28,6 rue Neuve,14110.0,Condé-sur-Noireau,Ecole élémentaire la Varende,Normandie,5244.0,2016,CAEN
0141563Y,49.182800799999995,-0.3690815,28,9 ter rue de la Haie Vigne,14000.0,Caen,Ecole maternelle Haie Vigne,Normandie,107229.0,2016,CAEN
0141691M,49.2764624,-0.7024738,28,Rue de Beauvais,14400.0,Bayeux,Ecole maternelle Argouges,Normandie,13888.0,2017,CAEN
0142016R,49.1129522,-0.47249220000000003,28,Le bourg,14210.0,Esquay-Notre-Dame,Ecole maternelle d'Esquay-Notre-Dame,Normandie,1438.0,2017,CAEN
0312623H,43.6044622,1.4442469,76,7 rue Xavier Darasse,31500.0,Toulouse,Ecole maternelle Limayrac Jérôme Pugens,Occitanie,458298.0,2016,TOULOUSE
0320247V,43.9218218,0.8012234,76,Le village,32380.0,Saint-Créac,Ecole Saint-Creac,Occitanie,104.0,2016,TOULOUSE
0320453U,43.6397222,-0.0222222,76,Le village,32400.0,Cahuzac-sur-Adour,Ecole Cahuzac Adour,Occitanie,233.0,2017,TOULOUSE
0320464F,43.9752122,0.6099933000000001,76,Le village,32700.0,Castéra-Lectourois,Ecole élémentaire de Castéra-Lectourois,Occitanie,332.0,2017,TOULOUSE
0240584E,45.1724869,0.7650347839958431,75,Avenue Louis Lescure,24750.0,Boulazac,Ecole élémentaire Yves Peron,Nouvelle-Aquitaine,6851.0,2016,BORDEAUX
0240632G,45.3583333,0.33944440000000003,75,Le bourg,24320.0,Saint-Martial-Viveyrol,Ecole élémentaire de Saint-Martial-Viveyrol,Nouvelle-Aquitaine,202.0,2017,BORDEAUX
0240682L,44.845628399999995,0.9082579,75,6 rue Fénelon,24480.0,Le Buisson-de-Cadouin,Ecole élémentaire du Buisson-de-Cadouin,Nouvelle-Aquitaine,2073.0,2017,BORDEAUX
0240716Y,44.83201079999999,1.3100538000000002,75,Le bourg,24370.0,Veyrignac,Ecole élémentaire de Veyrignac,Nouvelle-Aquitaine,333.0,2016,BORDEAUX
0241117J,45.138268100000005,0.752132860790254,75,9 rue Eugène Leroy,24750.0,Atur,Ecole maternelle d'Atur,Nouvelle-Aquitaine,1901.0,2017,BORDEAUX
0250495C,47.16835579999999,6.826355199999999,27,3 place Francois-Xavier Joubert,25140.0,Fournet-Blancheroche,Ecole maternelle de Fournet-Blancheroche,Bourgogne-et-Franche-Comté,347.0,2016,BESANCON
0140671D,48.939940899999996,-0.2547982,28,Le bourg,14420.0,Villers-Canivet,Ecole maternelle de Villers-Canivet,Normandie,766.0,2017,CAEN
0150174H,44.89699475,2.2321001080992597,84,Le bourg,15290.0,Pers,Ecole de Pers,Auvergne-et-Rhône-Alpes,302.0,2017,CLERMONT-FERRAND
0142135V,49.369315500000006,0.27486900000000003,28,Le bourg,14600.0,Genneville,Ecole maternelle de Genneville,Normandie,782.0,2017,CAEN
0142157U,49.24874435,-0.602242244099141,28,11 rue de Creuilly,14740.0,Martragny,Ecole maternelle de Martragny,Normandie,372.0,2016,CAEN
0150311G,45.053480799999996,2.1477305,84,Le bourg,15150.0,Cros-de-Montvert,Ecole de Cros-de-Montvert,Auvergne-et-Rhône-Alpes,203.0,2016,CLERMONT-FERRAND
0150425F,44.928544099999996,2.4433101,84,24 avenue Jean Baptiste Veyre,15000.0,Aurillac,Ecole maternelle Jean Baptiste Veyre,Auvergne-et-Rhône-Alpes,26572.0,2016,CLERMONT-FERRAND
0150692W,44.9642272,2.4898166,84,La Pradelle,15130.0,Saint-Simon,Ecole maternelle la Pradelle,Auvergne-et-Rhône-Alpes,1143.0,2017,CLERMONT-FERRAND
0030330T,46.5660526,3.3331703,84,13 boulevard de Courtais,3000.0,Moulins,Ecole maternelle Marie Laurencin,Auvergne-et-Rhône-Alpes,19474.0,2017,CLERMONT-FERRAND
0320585M,43.646355799999995,0.5850506999999999,76,Rue Ernest Vila,32000.0,Auch,Ecole élémentaire Marianne,Occitanie,21962.0,2017,TOULOUSE
0550991D,48.645295700000005,5.3394095,44,6 rue des Pressoirs,55500.0,Longeaux,Ecole maternelle de Longeaux,Grand-Est,229.0,2016,NANCY-METZ
0160197C,45.323574900000004,0.1899025,75,Le bourg,16390.0,Pillac,Ecole de Pillac,Nouvelle-Aquitaine,270.0,2017,POITIERS
0030616D,46.1324239,3.4602736000000003,84,10 rue Jean Epinat,3300.0,Cusset,Ecole maternelle Les Darcins,Auvergne-et-Rhône-Alpes,13545.0,2017,CLERMONT-FERRAND
0030740N,46.3464789733877,3.8305934422415095,84,8 rue de la Mairie,3130.0,Bert,Ecole élémentaire de Bert,Auvergne-et-Rhône-Alpes,256.0,2017,CLERMONT-FERRAND
0050153P,44.56424570000001,6.4957085,93,Boulevard Pasteur,5200.0,Embrun,Ecole maternelle la Farandole,Provence-Alpes-Côte-d'Azur,6123.0,2017,AIX-MARSEILLE
0212101V,47.779773399999996,4.8607185,27,Place de l'Hôtel de Ville,21290.0,Recey-sur-Ource,Ecole maternelle de Recey-sur-Ource,Bourgogne-et-Franche-Comté,371.0,2016,DIJON
0220484G,48.5141594,-2.7602707000000004,53,2 rue de la corniche,22000.0,Saint-Brieuc,Ecole maternelle Cesson Bourg,Bretagne,45331.0,2016,RENNES
0560739Z,47.711927100000004,-3.3088391,53,2 impasse des écoles,56670.0,Riantec,Ecole maternelle la Petite mer,Bretagne,5232.0,2017,RENNES
0561415J,48.0647729,-2.9675702,53,Rue des églantines,56300.0,Pontivy,Ecole maternelle Marcel collet,Bretagne,13915.0,2017,RENNES
0561725W,47.747733600000004,-3.3660907,53,Rue de la Bollardière,56100.0,Lorient,Ecole maternelle Kerfichant,Bretagne,57961.0,2017,RENNES
0570406G,49.264743200000005,6.6277712,44,14 rue de l'école,57550.0,Rémering,Ecole élémentaire de Rémering,Grand-Est,445.0,2016,NANCY-METZ
0060231U,43.8119541,7.3146204,93,Rue H.passeron,6390.0,Contes,Ecole maternelle groupe Ricolfi 1,Provence-Alpes-Côte-d'Azur,7279.0,2017,NICE
0221474H,48.74957,-2.9855088,53,5 rue Yves Le Bitter,22470.0,Plouézec,Ecole maternelle Marcel Le Roy,Bretagne,3259.0,2016,RENNES
0240180R,44.8106395,0.8238780000000001,75,Le bourg,24480.0,Molières,Ecole élémentaire de Molières,Nouvelle-Aquitaine,323.0,2017,BORDEAUX
0270336U,49.0738551,0.46196940000000003,28,Le bourg,27230.0,Saint-Mards-de-Fresne,Ecole élémentaire de Saint-Mards-de-Fresne,Normandie,352.0,2017,ROUEN
0270365A,48.8995494,1.2329159,28,24 rue de l'Ecole,27220.0,Les Authieux,Ecole élémentaire des Authieux,Normandie,284.0,2017,ROUEN
0240296S,45.1909365,0.7184406999999999,75,Rue Clos Chassaing,24000.0,Périgueux,Ecole maternelle d'application Clos Chassaing,Nouvelle-Aquitaine,30036.0,2016,BORDEAUX
0240301X,45.197017200000005,0.7835042,75,4 rue des Charmilles,24750.0,Trélissac,Ecole maternelle Claudine Gerbeau,Nouvelle-Aquitaine,6836.0,2016,BORDEAUX
0240313K,44.6312198,0.8725428,75,Le bourg,24540.0,Biron,Ecole de Biron,Nouvelle-Aquitaine,188.0,2017,BORDEAUX
0240419A,45.336641,1.0490102,75,8 boulevard André Dupuy,24160.0,Excideuil,Ecole élémentaire d'Excideuil,Nouvelle-Aquitaine,1162.0,2016,BORDEAUX
0240582C,45.138268100000005,0.752132860790254,75,9 rue Eugène Leroy,24750.0,Atur,Ecole élémentaire d'Atur,Nouvelle-Aquitaine,1901.0,2017,BORDEAUX
0100144C,48.0629678470786,3.91875099874401,44,9 Grande rue,10130.0,Bernon,Ecole primaire de Bernon,Grand-Est,191.0,2016,REIMS
0100198L,48.502765999999994,4.2738976,44,4 rue Jeanne d'Arc,10240.0,Chaudrey,Ecole primaire de Chaudrey,Grand-Est,155.0,2016,REIMS
0100250T,48.2701237,3.8071497,44,9 rue Eugénie Geoffroy,10190.0,Estissac,Ecole maternelle d'Estissac,Grand-Est,1902.0,2016,REIMS
0100924A,48.2088406,3.8914306000000005,44,5 Route d'Estissac,10190.0,Bercenay-en-Othe,Ecole maternelle de Bercenay-en-Othe,Grand-Est,450.0,2016,REIMS
0451199J,47.76351,2.0215,24,113 rue de Chantaloup,45240.0,Marcilly-en-Villette,Ecole maternelle de Marcilly-en-Villette,Centre-Val-de-Loire,2040.0,2016,ORLEANS-TOURS
0451311F,48.2104339,2.0179646,24,Rue des écoles,45480.0,Outarville,Ecole maternelle d'Outarville,Centre-Val-de-Loire,1400.0,2016,ORLEANS-TOURS
0460227X,44.5418304,1.0737531,76,Le bourg,46700.0,Montcabrier,Ecole primaire de Montcabrier,Occitanie,343.0,2017,TOULOUSE
0460271V,44.9898406,1.6634008000000002,76,Le bourg,46110.0,Condat,Ecole primaire de Condat,Occitanie,397.0,2016,TOULOUSE
0460401L,44.7841401,1.8513429,76,Le bourg,46120.0,Aynac,Ecole maternelle d'Aynac,Occitanie,596.0,2016,TOULOUSE
0460419F,44.3770903,1.1533354559551101,76,Le bourg,46800.0,Belmontet,Ecole maternelle de Belmontet,Occitanie,149.0,2017,TOULOUSE
0460600C,44.9971233,1.6389476635401001,76,Le bourg,46110.0,Les Quatre-Routes-du-Lot,Ecole maternelle des Quatre-Routes-du-Lot,Occitanie,634.0,2017,TOULOUSE
0280156T,48.2825990166904,1.65838836542575,24,9 rue de l'église,28150.0,Boncé,Ecole élémentaire Bonce,Centre-Val-de-Loire,243.0,2017,ORLEANS-TOURS
0280285H,48.4231,1.46835,24,1 avenue de la République,28600.0,Luisant,Ecole primaire Charlemagne,Centre-Val-de-Loire,6720.0,2017,ORLEANS-TOURS
0180451T,47.3030026,2.5239669,24,13 Route de Boisbelle,18250.0,Henrichemont,Ecole maternelle d'Henrichemont,Centre-Val-de-Loire,1806.0,2017,ORLEANS-TOURS
0180588S,46.9921896,2.2552381,24,Breuil,18400.0,Saint-Florent-sur-Cher,Ecole maternelle Le Breuil,Centre-Val-de-Loire,6629.0,2016,ORLEANS-TOURS
9740951R,-20.935458399999998,55.29167629999999,4,Rue Louis Aragon,97420.0,Le Port,Ecole maternelle Françoise Dolto,La-Réunion,35881.0,2016,LA REUNION
9760022V,-12.77607895,45.2846124862922,6,Labatoir 1 la Ferme,97615.0,Dzaoudzi,Ecole élémentaire Labattoir 1 la Ferme,Mayotte,17831.0,2016,MAYOTTE
9760028B,-12.913218400000002,45.194967,6,Bandrele,97660.0,Bandrele,Ecole élémentaire Bandrele Village,Mayotte,10282.0,2016,MAYOTTE
0080345G,49.7429367,4.7462556,44,6 rue Gambetta,8000.0,Villers-Semeuse,Ecole maternelle Gambetta,Grand-Est,3599.0,2016,REIMS
0080520X,49.4254547,4.176461799999999,44,3 Grande rue,8190.0,Roizy,Ecole élémentaire de Roizy,Grand-Est,231.0,2016,REIMS
0090137A,42.9003627,1.3404767,76,Hameau d'Espies,9320.0,Boussenac,Ecole de Boussenac,Occitanie,185.0,2017,TOULOUSE
0170589Y,45.6245332,-1.0287636,75,18 rue des écoles,17200.0,Royan,Ecole élémentaire Jules Ferry,Nouvelle-Aquitaine,18138.0,2016,POITIERS
0110864E,43.21303579999999,2.3491068999999998,76,1  RUE RABELAIS,11000.0,Carcassonne,Ecole primaire la Prade,Occitanie,46724.0,2017,MONTPELLIER
0120338C,44.5923335,2.42216998397436,76,Rue Gonzague Florens,12320.0,Conques,Ecole Prosper Mérimée,Occitanie,255.0,2017,TOULOUSE
0120475B,44.476229,2.2295701,76,Route Sangayrac,12220.0,Montbazens,Ecole maternelle de Montbazens,Occitanie,1418.0,2017,TOULOUSE
0410098J,47.35296115,1.2239873718126,24,Place Lucien Gigaud,41400.0,Bourré,Ecole Lucien Gigaud,Centre-Val-de-Loire,676.0,2017,ORLEANS-TOURS
0190375E,45.406522499999994,2.0450180000000002,75,24 rue du Mouricou,19300.0,Égletons,Ecole maternelle Marcelle Bergeal,Nouvelle-Aquitaine,4334.0,2016,LIMOGES
0190547S,45.233554600000005,1.6974158,75,Le bourg,19330.0,Chameyrat,Ecole élémentaire de Chameyrat,Nouvelle-Aquitaine,1584.0,2016,LIMOGES
0210472Z,47.290721000000005,4.2946459,27,2 Grande rue,21210.0,Villargoix,Ecole RPI,Bourgogne-et-Franche-Comté,154.0,2016,DIJON
0210509P,47.23017,5.1929099999999995,27,8 Route de Genlis,21110.0,Varanges,Ecole élémentaire RPI,Bourgogne-et-Franche-Comté,751.0,2017,DIJON
0100796L,48.2784599,4.0507314,44,1 rue Pierre de Celle,10120.0,Saint-André-les-Vergers,Ecole maternelle Montier la Celle,Grand-Est,11770.0,2017,REIMS
0171051A,45.6245332,-1.0287636,75,23 rue de la Terrasse,17200.0,Royan,Ecole maternelle Jules Ferry,Nouvelle-Aquitaine,18138.0,2016,POITIERS
0180779Z,47.1354385,2.5499221000000003,24,Ste Solange,18220.0,Sainte-Solange,Ecole maternelle de Sainte-Solange,Centre-Val-de-Loire,1178.0,2016,ORLEANS-TOURS
0120585W,44.1883973,3.1322855,76,Boyne,12640.0,Rivière-sur-Tarn,Ecole maternelle Boyne,Occitanie,1050.0,2017,TOULOUSE
0420322X,46.0345572,4.0729178,84,18 place Berthelot,42300.0,Roanne,Ecole maternelle Berthelot,Auvergne-et-Rhône-Alpes,35507.0,2016,LYON
0420327C,46.0345572,4.0729178,84,Place Larochette,42300.0,Roanne,Ecole maternelle Larochette,Auvergne-et-Rhône-Alpes,35507.0,2016,LYON
0211333K,47.2089381,5.3531973,27,5 rue des Rosiers,21130.0,Villers-les-Pots,Ecole maternelle de Villers-les-Pots,Bourgogne-et-Franche-Comté,1076.0,2017,DIJON
0211891S,47.276819700000004,5.1748412,27,4 bis rue du Marais,21110.0,Magny-sur-Tille,Ecole maternelle de Magny-sur-Tille,Bourgogne-et-Franche-Comté,847.0,2016,DIJON
0280792J,48.7358807,1.3684253999999998,24,Rue du Lièvre d'Or,28100.0,Dreux,Ecole maternelle Croix Tienac,Centre-Val-de-Loire,31373.0,2016,ORLEANS-TOURS
0290512Z,48.45148029999999,-4.2557901,53,75 rue Fontaine Blanche,29800.0,Landerneau,Ecole maternelle Ferdinand Buisson,Bretagne,15443.0,2017,RENNES
0120719S,44.7373,2.7288200000000002,76,Le bourg,12460.0,Saint-Symphorien-de-Thénières,Ecole de Saint-Symphorien-de-Thénières,Occitanie,230.0,2017,TOULOUSE
0190145E,45.158498200000004,1.5332389,75,2 carrefour carriven,19100.0,Brive-la-Gaillarde,Ecole élémentaire Pont Cardinal,Nouvelle-Aquitaine,46794.0,2017,LIMOGES
0190510B,45.4143034,2.4284517999999995,75,Le bourg,19110.0,Sarroux,Ecole élémentaire de Sarroux,Nouvelle-Aquitaine,424.0,2017,LIMOGES
0291163G,47.8126044,-4.3377655,53,Rue Mathurin Meheut,29760.0,Penmarch,Ecole maternelle Auguste Dupouy,Bretagne,5401.0,2017,RENNES
0180234G,46.9921896,2.2552381,24,Rue Charles Migraine,18400.0,Saint-Florent-sur-Cher,Ecole élémentaire Louis Dezelot 1,Centre-Val-de-Loire,6629.0,2017,ORLEANS-TOURS
0420522P,45.4235,4.06555,84,7 rue des Monnaires,42380.0,Saint-Bonnet-le-Château,Ecole maternelle chemin des Monnaires,Auvergne-et-Rhône-Alpes,1583.0,2016,LYON
0420673D,45.4401467,4.3873058,84,23 rue Ambroise Paré,42100.0,Saint-Étienne,Ecole maternelle Solaure,Auvergne-et-Rhône-Alpes,172023.0,2017,LYON
0420702K,45.74456841313721,4.22591794358575,84,Le bourg,42110.0,Sainte-Foy-Saint-Sulpice,Ecole Le Bourg,Auvergne-et-Rhône-Alpes,533.0,2017,LYON
0420928F,45.6072875,4.0627318,84,50 avenue Alsace Lorraine,42600.0,Montbrison,Ecole maternelle Château Lacheze,Auvergne-et-Rhône-Alpes,15673.0,2016,LYON
0420933L,45.5414,4.18354,84,59 rue du Onze Novembre,42450.0,Sury-le-Comtal,Ecole maternelle R. du 11 Novembre,Auvergne-et-Rhône-Alpes,6057.0,2017,LYON
0290790B,47.9960325,-4.1024782,53,12 rue du Lycée,29000.0,Quimper,Ecole élémentaire Jules Ferry,Bretagne,63532.0,2017,RENNES
0061755A,43.833177,7.472391900000001,93,Place Lucien Rousset,6500.0,Castillon,Ecole Castillon,Provence-Alpes-Côte-d'Azur,381.0,2017,NICE
0130487J,43.5139051,4.9884322999999995,93,12 place des Carmes,13800.0,Istres,Ecole maternelle Carmes,Provence-Alpes-Côte-d'Azur,42937.0,2017,AIX-MARSEILLE
0422101F,45.4401467,4.3873058,84,5 rue Raoul Follereau,42100.0,Saint-Étienne,Ecole maternelle Cotonne,Auvergne-et-Rhône-Alpes,172023.0,2016,LYON
0430413R,45.118917100000004,3.9065257000000004,84,Le bourg,43800.0,Lavoûte-sur-Loire,Ecole élémentaire de Lavoûte-sur-Loire,Auvergne-et-Rhône-Alpes,841.0,2017,CLERMONT-FERRAND
0160196B,45.4199869,0.056499900000000006,75,Le bourg,16190.0,Nonac,Ecole de Nonac,Nouvelle-Aquitaine,303.0,2016,POITIERS
0160561Y,45.7078066,0.5547653,75,Le bourg,16220.0,Rouzède,Ecole élémentaire de Rouzède,Nouvelle-Aquitaine,223.0,2017,POITIERS
0071178T,45.2399639,4.6675474999999995,84,Cité de Bernaudin,7100.0,Annonay,Ecole Bernaudin,Auvergne-et-Rhône-Alpes,16075.0,2017,GRENOBLE
0090111X,43.1661872,1.2755831,76,1 place des écoles,9350.0,La Bastide-de-Besplas,Ecole primaire de la Bastide-de-Besplas,Occitanie,384.0,2017,TOULOUSE
0100095Z,48.2514482840827,4.70577699728286,44,Rue du Donjon,10200.0,Champignol-lez-Mondeville,Ecole primaire de Champignol-lez-Mondeville,Grand-Est,323.0,2016,REIMS
0100227T,47.99585089999999,3.8643686,44,36 Route Principale,10130.0,Les Croûtes,Ecole primaire des Croûtes,Grand-Est,108.0,2016,REIMS
0100412U,48.5185158,3.5955059,44,Rue du Four,10400.0,Pont-sur-Seine,Ecole maternelle de Pont-sur-Seine,Grand-Est,1131.0,2017,REIMS
0100465B,48.2784599,4.0507314,44,99 rue Thiers,10120.0,Saint-André-les-Vergers,Ecole maternelle Auguste Renoir,Grand-Est,11770.0,2016,REIMS
0351787C,48.0181129,-1.651345,53,3 avenue de la Mare Guesclin,35230.0,Saint-Erblon,Ecole maternelle Les Colombes,Bretagne,2662.0,2017,RENNES
0352095M,48.368382700000005,-1.2177018,53,14 rue de la Dussetière,35133.0,Lécousse,Ecole maternelle Montaubert,Bretagne,3058.0,2017,RENNES
0360241S,46.947782600000004,1.9889131000000002,24,8 rue François Habert,36100.0,Issoudun,Ecole maternelle FranE£ois Habert,Centre-Val-de-Loire,12420.0,2016,ORLEANS-TOURS
0360484F,46.428091200000004,2.0528147,24,4 rue de l'Ecole,36160.0,Sazeray,Ecole de Sazeray,Centre-Val-de-Loire,314.0,2017,ORLEANS-TOURS
0292028X,47.8201167,-3.7921065,53,Rue de Gwaremm Zu,29920.0,Névez,Ecole maternelle Bourg,Bretagne,2682.0,2016,RENNES
0170436G,46.1591126,-1.1520434,75,Rue Nicolas de Largilliére,17000.0,La Rochelle,Ecole maternelle Gaston Balande,Nouvelle-Aquitaine,74344.0,2016,POITIERS
9710152N,16.2408636,-61.533407700000005,1,Boulevard Chanzy,97110.0,Pointe-à-Pitre,Ecole maternelle Cideme Salvator,Guadeloupe,15826.0,2016,GUADELOUPE
9710389W,16.3316709,-61.3476233,1,Cadenet,97160.0,Le Moule,Ecole maternelle Laurette Vitalle,Guadeloupe,22456.0,2017,GUADELOUPE
9710492H,16.3776349,-61.48778370000001,1,Rue Evremont Gène,97131.0,Petit-Canal,Ecole maternelle Amédée Fengarol,Guadeloupe,8057.0,2017,GUADELOUPE
9710497N,16.2255854,-61.385755700000004,1,Rue Victor Hugo,97180.0,Sainte-Anne,Ecole maternelle Paul Lacavé,Guadeloupe,24653.0,2016,GUADELOUPE
0110176G,43.21303579999999,2.3491068999999998,76,6 rue Déodat de Séverac,11000.0,Carcassonne,Ecole maternelle Paul Lacombe,Occitanie,46724.0,2016,MONTPELLIER
0110651Y,43.2108325,2.4412578999999996,76,Place de l'Hôtel de Ville,11800.0,Trèbes,Ecole maternelle Trebes Ville,Occitanie,5410.0,2016,MONTPELLIER
0260940F,45.0458886,5.0528680999999995,84,Boulevard Henri Dunant,26100.0,Romans-sur-Isère,Ecole maternelle Ninon Vallin,Auvergne-et-Rhône-Alpes,33632.0,2016,GRENOBLE
0261028B,44.9332277,4.8920810999999995,84,1 rue Maurice Ravel,26000.0,Valence,Ecole maternelle Maurice Ravel,Auvergne-et-Rhône-Alpes,61767.0,2016,GRENOBLE
0270863S,48.90859715,1.1640740779346699,28,2 rue Saint-Barthélémy,27240.0,Thomer-la-Sôgne,Ecole élémentaire de Thomer-la-Sôgne,Normandie,327.0,2017,ROUEN
0571959V,49.034658,6.1569029,44,55 rue Principale,57420.0,Coin-lès-Cuvry,Ecole élémentaire Le Cèdre Bleu,Grand-Est,685.0,2016,NANCY-METZ
0572137N,49.119696399999995,6.176355200000001,44,13 rue Christian Pfister,57000.0,Metz,Ecole maternelle Sablon Au pommier Rose,Grand-Est,118634.0,2017,NANCY-METZ
0572314F,49.3086945,6.587674400000001,44,23 rue Principale,57320.0,Heining-lès-Bouzonville,Ecole élémentaire d'Heining-lès-Bouzonville,Grand-Est,512.0,2017,NANCY-METZ
0671974G,48.851978700000004,7.6124713869939695,44,1 rue de l'Ecole,67350.0,La Walck,Ecole de la Walck,Grand-Est,1130.0,2016,STRASBOURG
0672452B,48.3966676,7.4425002000000005,44,1 chemin de l'Oberberg,67140.0,Mittelbergheim,Ecole maternelle de Mittelbergheim,Grand-Est,658.0,2016,STRASBOURG
