2015-2016	2016-2017	2017-2018	Académie	Adresse	Appellation officielle	Code département	Code postal	Commune	Département	Etat établissement	Latitude	Lieu dit	Longitude	Nombre d'élèves 2015-2016	Nombre d'élèves 2016-2017	Nombre d'élèves 2017-2018	Numéro d'école	Patronyme uai	Secteur d'enseignement	code région	libellé région
yes	no	no	AMIENS	Impasse du Sapincourt	Ecole maternelle Groupe scolaire r.fiolet N1 		2200	Soissons						136.0			0021806C		PUBLIC	32	Hauts-de-France
yes	no	no	LYON	141 rue Eugène Dubois	Ecole maternelle de Vonnas 		1540	Vonnas						78.0			0010958L		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	BESANCON	Rue Corne	Ecole de Varogne 		70240	Varogne						20.0			0700308E		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	BESANCON	Route de Pont de Planches	Ecole maternelle de Vezet 		70130	Vezet						14.0			0700756S		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	TOULOUSE	Rue de la Mairie	Ecole maternelle Paul Leygue 		82110	Lauzerte						40.0			0820693H		PUBLIC	76	Occitanie
yes	yes	no	STRASBOURG	48 rue d'Untergrombach Echery	Ecole élémentaire Echery 		68160	Sainte-Marie-aux-Mines						37.0	31.0		0680473V		PUBLIC	44	Grand-Est
yes	no	no	DIJON	Le bourg	Ecole de Suin 		71220	Suin						11.0			0710503L		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	NICE	Chemin du Moulin Premier	Ecole maternelle Marcel Pagnol 		83260	La Crau						107.0			0831525G		PUBLIC	93	Provence-Alpes-Côte-d'Azur
yes	yes	no	TOULOUSE	1 rue du Bourg	Ecole maternelle de Lau-Balagnas 		65400	Lau-Balagnas						10.0	8.0		0650851X		PUBLIC	76	Occitanie
yes	no	no	MARTINIQUE	Cité Calebasse	Ecole maternelle Ravenala 		97200	Fort-de-France						64.0			9720464X		PUBLIC	2	Martinique
yes	yes	no	STRASBOURG	22 rue du Genie	Ecole maternelle Genie 		67190	Mutzig						58.0	57.0		0670213T		PUBLIC	44	Grand-Est
yes	no	no	MAYOTTE	Tsingoni	Ecole élémentaire spéciale Tsingoni PPF 		97680	Tsingoni						5.0			9760109P		PUBLIC	6	Mayotte
yes	no	no	MAYOTTE	Bandrele	Ecole maternelle Dapani maternelle 		97660	Bandrele						221.0			9760269N		PUBLIC	6	Mayotte
yes	no	no	CORSE	Casuccio	Ecole maternelle Morsiglia 		20238	Morsiglia						5.0			7200076V		PUBLIC	94	Corse
yes	no	no	GUADELOUPE	17 rue Chevalier Saint Georges	Ecole primaire Elie Chaufrein 		97100	Basse-Terre						54.0			9710136W		PUBLIC	1	Guadeloupe
yes	yes	no	GUADELOUPE	Boulevard Chanzy	Ecole primaire Cideme Salvator 		97110	Pointe-à-Pitre						99.0	88.0		9710192G		PUBLIC	1	Guadeloupe
yes	no	no	GUADELOUPE	Route de Vieux Bourg	Ecole élémenTaire d'application Jean Zebus 		97139	Les Abymes						115.0			9710290N		PUBLIC	1	Guadeloupe
yes	yes	no	GUADELOUPE	Lieu-dit LES PLAINES	Ecole maternelle Grand-Camp 1	971	97142	Les Abymes	Guadeloupe	OUVERT	16.252265123644975	GRAND CAMP	-61.535938037932475	120.0	106.0		9710724K	GRAND-CAMP 1	PUBLIC	1	Guadeloupe
yes	no	no	GUADELOUPE	8 chemin Communal	Ecole maternelle Géry Vieux-Habitants 		97119	Vieux-Habitants						37.0			9710876A		PUBLIC	1	Guadeloupe
yes	no	no	GUADELOUPE	Section Faup	Ecole maternelle Faup 		97112	Grand-Bourg						42.0			9710919X		PUBLIC	1	Guadeloupe
yes	no	no	MARTINIQUE	28 avenue du Général de Gaulle	Ecole élémentaire Carbet B 		97221	Le Carbet						90.0			9720108K		PUBLIC	2	Martinique
yes	no	no	DIJON	1 rue de la Maladière	Ecole maternelle Les Clairions 		89000	Auxerre						62.0			0890418W		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	4 place de la Mairie	Ecole primaire de Chassignelles 		89160	Chassignelles						12.0			0890681G		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	yes	no	DIJON	9 rue d'Orléans	Ecole maternelle de Cravant 		89460	Cravant						39.0	50.0		0890990T		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	3 rue des écoles	Ecole maternelle de Quarré-les-Tombes 		89630	Quarré-les-Tombes						46.0			0891153V		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	yes	no	CAEN	Le bourg	Ecole maternelle de Heugon 		61470	Heugon						27.0	20.0		0610490B		PUBLIC	28	Normandie
yes	no	no	POITIERS	25 rue Henri Sellier	Ecole maternelle Groupe scolaire Emile Zola 		79000	Niort						94.0			0790753P		PUBLIC	75	Nouvelle-Aquitaine
