0270365A;48.8995494;48.8995494;Les Authieux, Évreux, Eure, Normandie, France métropolitaine, 27220, France;True
0240296S;45.1909365;45.1909365;Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24000, France;True
0240301X;45.1970172;45.1970172;Trélissac, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24750, France;True
0240313K;44.6312198;44.6312198;Biron, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24540, France;True
0240419A;45.336641;45.336641;Excideuil, Nontron, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24160, France;True
0240582C;45.1382681;45.1382681;Atur, Boulazac Isle Manoire, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24750, France;True
0100144C;48.0629678470786;48.0629678470786;Ervy-le-Châtel, Grand Est, France métropolitaine, 10130, France;False
0100198L;48.502766;48.502766;Chaudrey, Troyes, Aube, Grand Est, France métropolitaine, 10240, France;True
0100250T;48.2701237;48.2701237;Estissac, Troyes, Aube, Grand Est, France métropolitaine, 10190, France;True
0100924A;48.2088406;48.2088406;Bercenay-en-Othe, Troyes, Aube, Grand Est, France métropolitaine, 10190, France;True
0451199J;47.76351;47.76351;Marcilly-en-Villette, Orléans, Loiret, Centre-Val de Loire, France métropolitaine, 45240, France;True
0451311F;48.2104339;48.2104339;Outarville, Pithiviers, Loiret, Centre-Val de Loire, France métropolitaine, 45480, France;True
0460227X;44.5418304;44.5418304;Montcabrier, Cahors, Lot, Occitanie, France métropolitaine, 46700, France;True
0460271V;44.9898406;44.9898406;Condat, Gourdon, Lot, Occitanie, France métropolitaine, 46110, France;True
0460401L;44.7841401;44.7841401;Aynac, Figeac, Lot, Occitanie, France métropolitaine, 46120, France;True
0460419F;44.3770903;44.3770903;Belmontet, Montcuq-en-Quercy-Blanc, Cahors, Lot, Occitanie, France métropolitaine, 46800, France;True
0460559H;44.8586149;44.8586149;Saint-Céré, Figeac, Lot, Occitanie, France métropolitaine, 46400, France;True
0460600C;44.9971233;44.9971233;Les Quatre-Routes-du-Lot, Le Vignon-en-Quercy, Gourdon, Lot, Occitanie, France métropolitaine, 46110, France;True
0280156T;48.2825990166904;48.2825990166904;Beauvilliers, Centre-Val de Loire, France métropolitaine, 28150, France;False
0280285H;48.4231;48.4231;Luisant, Chartres, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28600, France;True
0180451T;47.3030026;47.3030026;Henrichemont, Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18250, France;True
0180588S;46.9921896;46.9921896;Saint-Florent-sur-Cher, Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18400, France;True
9740951R;-20.9354584;-20.9354584;Le Port, Saint-Paul, La Réunion, 97420, France;True
9760022V;-12.77607895;-12.77607895;Dzaoudzi, Mayotte, 97610, France;True
9760028B;-12.9132184;-12.9132184;Bandrélé, Mayotte, 97620, France;True
0080345G;49.7429367;49.7429367;Villers-Semeuse, Charleville-Mézières, Ardennes, Grand Est, France métropolitaine, 08000, France;True
0080520X;49.4254547;49.4254547;Roizy, Rethel, Ardennes, Grand Est, France métropolitaine, 08190, France;True
0090137A;42.9003627;42.9003627;Boussenac, Saint-Girons, Ariège, Occitanie, France métropolitaine, 09320, France;True
0170589Y;45.6245332;45.6245332;Royan, Rochefort, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17200, France;True
0110864E;43.2130358;43.2130358;Carcassonne, Aude, Occitanie, France métropolitaine, 11000, France;True
0120338C;44.5923335;44.5923335;Conques, Conques-en-Rouergue, Rodez, Aveyron, Occitanie, France métropolitaine, 12320, France;True
0120475B;44.476229;44.476229;Montbazens, Villefranche-de-Rouergue, Aveyron, Occitanie, France métropolitaine, 12220, France;True
0410098J;47.35296115;47.35296115;Bourré, Montrichard Val de Cher, Romorantin-Lanthenay, Loir-et-Cher, Centre-Val de Loire, France métropolitaine, 41400, France;True
0190375E;45.4065225;45.4065225;Égletons, Ussel, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19300, France;True
